time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,yb_energy_kJ_mol,carbon_plane_nm,lowest_O_height_nm,highest_O_height_nm,mean_O_height_nm,waters_below_graphene
0.0,297.9715239342177,-76719.46633747872,40075.60481747974,0.3502256761011362,0.5000674359976381,0.28240951871812026,3.361794755719877,1.4665230684522728,0
2.0,300.06979013702903,-76440.41336801334,40357.81060021858,0.0008903262785537265,0.5004711747423138,0.27044006756121797,3.3008665470451923,1.442870342184887,0
4.0,301.6951922757303,-77112.37073541037,40576.41865014236,0.214686520839808,0.49962410936582274,0.26910627572013474,3.216780691181529,1.4275499900903066,0
6.0,300.0151734274951,-76450.08836466877,40350.46493967084,0.06582547355728928,0.49791283833469513,0.2716247716736968,3.2516610740147094,1.4419007952979332,0
8.0,302.08133838134677,-77085.4844949944,40628.35327304248,0.43051316819991203,0.49949005817974157,0.2619732567228966,3.4129838657411584,1.4309067513810187,0
10.0,299.64397861912664,-76938.08713193459,40300.54118771608,0.048656570548333555,0.500221846977135,0.26787786175423134,3.311388530531295,1.4250457432104064,0
12.0,300.56614242203824,-76957.95580682426,40424.56737536826,0.0013886539086614355,0.49981126807505205,0.26835420810876764,3.276049431299474,1.4146939520329174,0
14.0,301.42694717859354,-76733.0343444295,40540.34109358548,0.28186617947478915,0.4986543674335893,0.2643922998134471,3.229782806066951,1.4084622299215885,0
16.0,298.70114806945145,-75975.68801199738,40173.73543118019,0.020169421762695577,0.5002769852440175,0.2666176362817366,3.2179836755352476,1.4113211992366728,0
18.0,302.14359713784785,-77073.42313067964,40636.726748766,0.20668438652976023,0.5002286619470004,0.2624755872978983,3.2040586279658765,1.3886442923672087,0
20.0,302.0971545442991,-76770.28989568457,40630.48046388218,0.2371066741805284,0.5002125479454982,0.2734462930278472,3.1288454777326784,1.3866794094401595,0
22.0,297.6786897246681,-77063.70750165777,40036.22015446228,0.2730350107513933,0.49744551877573284,0.2711096874948581,3.14617191458087,1.381345284973161,0
24.0,299.1859951332475,-77240.52881573397,40238.94481451004,1.661892895694654,0.4986893747208207,0.27333646941953443,3.0561889439699903,1.361002657838594,0
26.0,297.27998174340837,-76599.66629051603,39982.59602527178,0.4178760930570991,0.5025987241048048,0.2584188841771692,3.0660848939645096,1.3394497233002138,0
28.0,299.68749645574553,-76638.44069052872,40306.39410815567,0.3533131480780107,0.5005723240591653,0.2638695833897309,3.085408929918108,1.3326587553055678,0
30.0,296.4889499439957,-76683.1851167616,39876.20640329461,0.260835330422001,0.5012999757867327,0.2538858189741191,3.0997496047630584,1.3277381289164503,0
32.0,300.5195461003286,-77332.92316044285,40418.30041485428,0.04111615873602983,0.4996210136691741,0.25601202992193306,3.0140004385633463,1.3053970693408357,0
34.0,300.9566404767456,-76937.81549648475,40477.08731256165,0.1795742701985854,0.5006867982522282,0.2648128727976614,2.9595225227071613,1.301566596062325,0
36.0,301.2163277579064,-76607.08905942831,40512.01388782132,0.06988878433695317,0.4991565369054759,0.26263987872794947,2.9712208695032327,1.3020008605762885,0
38.0,303.76102580832594,-77227.42484595906,40854.26240909592,1.0760504960083026,0.5011430225484997,0.27640366403581773,3.02685507675928,1.2991364132629188,0
40.0,300.4768094275582,-77244.60468424577,40412.5525568491,0.42660289306718746,0.5007284000832303,0.26510239882467956,2.954265730609417,1.29106433605442,0
42.0,300.04017298480767,-77345.05976336845,40353.82724881449,0.16333389289635508,0.5001920702400675,0.27145556793697323,2.9157483139024984,1.3006196991719907,0
44.0,299.77337024304467,-76771.15216468775,40317.943681479126,0.20971462656675371,0.5002277949151656,0.26369553430029125,3.009664944572229,1.308315073617563,0
46.0,298.61952861399163,-76470.74001436715,40162.75804314244,0.7157370190688341,0.5017186022168817,0.2789741470217887,3.0285226691752096,1.2960241448194008,0
48.0,299.19825447051903,-77046.08954308915,40240.593630978576,0.18521833076806285,0.49960613091718387,0.27252478325586427,3.0458972768334993,1.288665951964226,0
50.0,300.0227468643617,-77039.62844855955,40351.48352714849,0.2110849605094037,0.5007082917437569,0.26076856209556953,3.001044098645573,1.2857752759904126,0
52.0,302.1057884685539,-76723.82363319548,40631.641681343135,0.032311709607558484,0.5010025920181103,0.27035152308928234,3.0568985410297684,1.2967899989105105,0
54.0,300.25784003667695,-76818.08501125476,40383.10232395363,0.07185722471639273,0.49970889924984824,0.2796507039923097,3.1439854521311488,1.3004690524004405,0
56.0,297.47068693671076,-77133.76729838981,40008.24487205592,0.40594709649797345,0.49904155410692247,0.25681587970697145,2.899277629033287,1.2957155298336547,0
58.0,298.69951361885353,-77598.46243672783,40173.51560616003,0.8495578683025745,0.5002014256972482,0.2702229885018874,2.9220535262477587,1.2823999144844256,0
60.0,303.0865607859473,-77301.3980542596,40763.55040634083,0.7007367800096321,0.49884941926661314,0.2705358633985419,2.861895648861192,1.2760849388828008,0
62.0,299.4453070851783,-77523.11327291513,40273.82090995976,0.4204262142424595,0.4996882786145011,0.27127555271303555,2.9349156721486214,1.2776141889226036,0
64.0,303.27964073105045,-77496.07038241986,40789.518644768345,0.012602543069906205,0.5010583183350587,0.27017050109084517,2.9514816997266027,1.2777685299619026,0
66.0,300.74810698754857,-76817.7159402977,40449.040653626165,0.3200524386821953,0.499925576371683,0.25953840033288866,2.929635413171174,1.264025779941213,0
68.0,302.75199558641316,-77024.9095818582,40718.55314437035,0.025611356068606896,0.49982331636671695,0.26447295292096484,2.924117493164479,1.263321441239357,0
70.0,300.11555454655064,-77379.64610479388,40363.96567291304,0.5256537371450639,0.4997995997019697,0.2644800812367581,2.873292273598007,1.2577671736032408,0
72.0,301.4856182220676,-76996.88678337191,40548.23204075201,0.5021179904805149,0.500581866980179,0.27206730849176497,2.9438549811903463,1.2478952282820084,0
74.0,301.2565209660176,-77472.14143434865,40517.41966318987,0.1114165361045079,0.5002286442995146,0.2712968503195027,2.8566620346617695,1.2374913096383326,0
76.0,298.2360978515435,-76771.30711665621,40111.18861963562,0.7293881244380486,0.5006449549942443,0.24942130923441985,2.851654796585257,1.2438831264926227,0
78.0,298.1946931141104,-77220.71890767943,40105.61989993707,0.000714085068321443,0.49997537086934846,0.2637142714206135,2.973919925280125,1.2381171053833115,0
80.0,301.25378622006224,-76947.30116788473,40517.05185422364,0.0015917703739768735,0.5002973592240184,0.275330237077127,2.891795373669484,1.2312284280134476,0
82.0,301.7217133802942,-77434.2311283641,40579.98559939911,0.00018019964598615544,0.5011907544646166,0.2731154620068812,2.8160700998202586,1.2324385034059722,0
84.0,298.9871815256203,-77617.18978494906,40212.20542859018,0.3767689248533577,0.49981200203001674,0.27174053880172333,2.8201517649895633,1.2427656643591298,0
86.0,297.6920998886146,-77685.67328786815,40038.02375107367,0.2638205454720974,0.49978336592392525,0.2762097209457077,2.9235090337168375,1.2494073565583197,0
88.0,298.59150077868856,-76985.65139044274,40158.98844651567,0.48950226224237464,0.5005235828726412,0.2718942160836296,2.95927637381297,1.2457222871058784,0
90.0,300.9526565606642,-77329.75670228293,40476.55149677498,0.19404808942162868,0.5008754390307096,0.2568627742993833,2.8059912001142013,1.2298614294900427,0
92.0,302.4842408302152,-77059.91366710083,40682.54153609412,0.6991062720916952,0.5014044768406734,0.2809613621611,2.7970609401867206,1.228399860608327,0
94.0,296.9131019605353,-77236.7887734262,39933.25262158066,0.005019657251001962,0.49974726670138336,0.2723786658098004,2.862669319160134,1.2307409840104548,0
96.0,302.12074808445055,-77206.02745668625,40633.653671103035,0.43908804181647343,0.49736273803894065,0.26865038044786466,2.7345680631082385,1.2180520823413197,0
98.0,296.6868191681385,-77261.75692282536,39902.818774596366,0.04853207110087835,0.49919388572602874,0.2747462727268484,2.7431243897199105,1.2325482724009365,0
100.0,298.6000533050903,-77101.9296068243,40160.13871639295,7.990925268876921e-06,0.4998384512955152,0.26891270866305383,2.7361523623969592,1.2286411372683752,0
102.0,301.2175655480229,-77611.3853058418,40512.180364090265,0.09748194625718667,0.49847622625666416,0.2758520106266245,2.8452992228268377,1.2120488941378795,0
104.0,298.9666716407904,-77320.08502726385,40209.44695681261,0.011785638796056075,0.49892115184892954,0.2776550660488178,2.7861760819322146,1.2174052701643165,0
106.0,300.9839445191843,-77335.59471138939,40480.75956285003,0.022543416355098454,0.500712764258157,0.27333809484507854,2.7880702539527356,1.208156355984102,0
108.0,296.61192747001746,-77613.12367940182,39892.746234581864,0.45308610338344,0.5011915153190802,0.2730062114270737,2.76204685462268,1.2023322319448588,0
110.0,298.9752788651164,-77028.19803818979,40210.60458327338,0.003203399313156072,0.5010614945794977,0.2686670555699072,2.711936488301537,1.1895335977726227,0
112.0,299.5674544940446,-77161.27511964634,40290.24909484996,0.003850295059373015,0.5008536934833768,0.2807819317357171,2.729792064702872,1.1828383055361535,0
114.0,301.09136711551474,-77083.61556881841,40495.207337799,0.013037701741305143,0.5002416859019241,0.2655615475847797,2.750676987586291,1.1849881106123301,0
116.0,303.0479335060111,-76978.63009467965,40758.35524008649,0.5654869211327777,0.4992436737922124,0.26067470159314315,2.782249953684366,1.1808054736357454,0
118.0,301.40674947231,-76791.38490597962,40537.62460818261,0.3547063399120784,0.500597748132015,0.2715374010898266,2.9088658762420456,1.1934433695527615,0
