stage,stage_elapsed_ps,context_time_ps,target_height_nm,actual_height_mean_nm,actual_gap_max_nm,restraint_energy_kJ_per_mol,temperature_K
settle,390.000,890.000,0.500000,0.532432,0.485773,0.262954,300.251
settle,400.000,900.000,0.500000,0.403280,0.354942,2.338709,300.789
settle,410.000,910.000,0.500000,0.612937,0.574263,3.188690,300.028
settle,420.000,920.000,0.500000,0.756055,0.711645,16.391001,297.847
settle,430.000,930.000,0.500000,0.531577,0.485319,0.249275,300.125
settle,440.000,940.000,0.500000,0.467100,0.424162,0.270601,299.820
settle,450.000,950.000,0.500000,0.490504,0.450045,0.022541,301.354
settle,460.000,960.000,0.500000,0.507657,0.469275,0.014659,300.422
settle,470.000,970.000,0.500000,0.441784,0.397717,0.847263,299.690
settle,480.000,980.000,0.500000,0.612778,0.572079,3.179743,301.617
settle,490.000,990.000,0.500000,0.469811,0.421065,0.227842,298.940
settle,500.000,1000.000,0.500000,0.583784,0.532186,1.754939,299.498
production,1.000,1001.000,0.500000,0.601577,0.564597,2.579456,299.520
production,100.000,1100.000,0.500000,0.586872,0.545726,1.886688,299.324
production,200.000,1200.000,0.500000,0.458344,0.410061,0.433807,299.840
production,300.000,1300.000,0.500000,0.543666,0.507229,0.476675,301.631
production,400.000,1400.000,0.500000,0.445751,0.395848,0.735749,300.056
production,500.000,1500.000,0.500000,0.494213,0.451167,0.008373,299.599
production,600.000,1600.000,0.500000,0.486459,0.445786,0.045837,300.439
production,700.000,1700.000,0.500000,0.481605,0.434190,0.084596,299.725
production,800.000,1800.000,0.500000,0.487952,0.443331,0.036291,300.191
production,900.000,1900.000,0.500000,0.481047,0.444254,0.089807,301.050
production,1000.000,2000.000,0.500000,0.571052,0.535890,1.262104,299.599
