stage,stage_elapsed_ps,context_time_ps,target_height_nm,actual_height_mean_nm,actual_gap_max_nm,restraint_energy_kJ_per_mol,temperature_K
pull,1.000,1.000,2.051236,2.112474,2.072402,0.937510,299.943
pull,10.000,10.000,2.041294,2.137630,2.088617,2.320139,301.210
pull,20.000,20.000,2.030247,2.040403,2.000463,0.025783,299.595
pull,30.000,30.000,2.019201,1.941220,1.900370,1.520259,299.236
pull,40.000,40.000,2.008154,1.986642,1.943452,0.115692,300.369
pull,50.000,50.000,1.997107,1.923558,1.881337,1.352361,300.689
pull,60.000,60.000,1.986060,2.060062,2.019089,1.369057,300.921
pull,70.000,70.000,1.975013,1.965013,1.914399,0.025001,299.315
pull,80.000,80.000,1.963967,1.866407,1.815623,2.379485,301.774
pull,90.000,90.000,1.952920,1.993092,1.942120,0.403445,300.279
pull,100.000,100.000,1.941873,1.882814,1.843270,0.871974,299.915
pull,110.000,110.000,1.930826,1.859504,1.824173,1.271701,300.547
pull,120.000,120.000,1.919779,1.908351,1.858144,0.032650,299.959
pull,130.000,130.000,1.908732,2.004951,1.956096,2.314516,300.416
pull,140.000,140.000,1.897686,1.978408,1.937804,1.629009,300.264
pull,150.000,150.000,1.886639,2.004792,1.967691,3.490060,298.621
pull,160.000,160.000,1.875592,2.069180,2.024141,9.369080,299.991
pull,170.000,170.000,1.864545,2.001074,1.962567,4.660007,301.691
pull,180.000,180.000,1.853498,1.911827,1.874746,0.850571,300.291
pull,190.000,190.000,1.842451,1.804818,1.753389,0.354062,300.398
pull,200.000,200.000,1.831405,1.934170,1.898251,2.640178,301.101
pull,210.000,210.000,1.820358,1.901205,1.852424,1.634051,300.203
pull,220.000,220.000,1.809311,1.769706,1.728509,0.392149,299.362
pull,230.000,230.000,1.798264,1.840586,1.801605,0.447791,299.296
pull,240.000,240.000,1.787217,1.830903,1.796275,0.477110,300.281
pull,250.000,250.000,1.776171,1.790916,1.747630,0.054357,299.213
pull,260.000,260.000,1.765124,1.722540,1.679733,0.453335,299.217
pull,270.000,270.000,1.754077,1.608012,1.568538,5.333711,300.661
pull,280.000,280.000,1.743030,1.670987,1.633045,1.297542,300.929
pull,290.000,290.000,1.731983,1.747791,1.688086,0.062469,300.107
pull,300.000,300.000,1.720936,1.707449,1.661513,0.045476,299.146
pull,310.000,310.000,1.709890,1.690257,1.648924,0.096360,299.047
pull,320.000,320.000,1.698843,1.741692,1.702989,0.459021,299.311
pull,330.000,330.000,1.687796,1.718770,1.689414,0.239840,300.610
pull,340.000,340.000,1.676749,1.757945,1.716089,1.648186,301.270
pull,350.000,350.000,1.665702,1.730176,1.693961,1.039220,299.777
pull,360.000,360.000,1.654656,1.644404,1.607594,0.026273,298.873
pull,370.000,370.000,1.643609,1.623957,1.579528,0.096545,299.687
pull,380.000,380.000,1.632562,1.565451,1.524096,1.125964,301.234
pull,390.000,390.000,1.621515,1.681857,1.645726,0.910288,300.549
pull,400.000,400.000,1.610468,1.680014,1.634090,1.209136,299.910
pull,410.000,410.000,1.599421,1.668140,1.620485,1.180576,299.119
pull,420.000,420.000,1.588375,1.599073,1.554917,0.028617,298.584
pull,430.000,430.000,1.577328,1.585077,1.548065,0.015013,301.716
pull,440.000,440.000,1.566281,1.569339,1.530861,0.002337,298.858
pull,450.000,450.000,1.555234,1.613491,1.578696,0.848469,300.234
pull,460.000,460.000,1.544187,1.461057,1.420465,1.727654,300.744
pull,470.000,470.000,1.533140,1.561989,1.519441,0.208061,302.043
pull,480.000,480.000,1.522094,1.435046,1.396298,1.894325,300.941
pull,490.000,490.000,1.511047,1.404706,1.366919,2.827090,298.907
pull,500.000,500.000,1.500000,1.478336,1.429380,0.117329,299.248
settle,10.000,510.000,1.500000,1.455258,1.412314,0.500464,298.589
settle,20.000,520.000,1.500000,1.458652,1.413836,0.427404,301.267
settle,30.000,530.000,1.500000,1.456163,1.416564,0.480409,300.316
settle,40.000,540.000,1.500000,1.521892,1.485417,0.119816,299.596
settle,50.000,550.000,1.500000,1.426201,1.390356,1.361560,299.807
settle,60.000,560.000,1.500000,1.469052,1.426250,0.239440,298.763
settle,70.000,570.000,1.500000,1.430136,1.391406,1.220225,300.682
settle,80.000,580.000,1.500000,1.558124,1.521649,0.844605,299.232
settle,90.000,590.000,1.500000,1.524697,1.487714,0.152480,299.087
settle,100.000,600.000,1.500000,1.615363,1.576172,3.327135,300.198
settle,110.000,610.000,1.500000,1.613016,1.571733,3.193168,298.866
settle,120.000,620.000,1.500000,1.531012,1.495700,0.240433,298.741
settle,130.000,630.000,1.500000,1.454317,1.413454,0.521743,299.311
settle,140.000,640.000,1.500000,1.532319,1.489121,0.261127,299.774
settle,150.000,650.000,1.500000,1.423681,1.384348,1.456128,299.876
settle,160.000,660.000,1.500000,1.418452,1.383139,1.662518,298.977
settle,170.000,670.000,1.500000,1.402098,1.359363,2.396227,300.738
settle,180.000,680.000,1.500000,1.502763,1.465450,0.001909,300.426
settle,190.000,690.000,1.500000,1.523350,1.481699,0.136310,300.176
settle,200.000,700.000,1.500000,1.513399,1.468835,0.044881,300.960
settle,210.000,710.000,1.500000,1.467992,1.433160,0.256131,299.764
settle,220.000,720.000,1.500000,1.519828,1.477042,0.098282,300.871
settle,230.000,730.000,1.500000,1.595338,1.547047,2.272356,298.483
settle,240.000,740.000,1.500000,1.486623,1.443197,0.044736,299.738
settle,250.000,750.000,1.500000,1.583227,1.535386,1.731660,298.614
settle,260.000,760.000,1.500000,1.470017,1.436761,0.224751,298.747
settle,270.000,770.000,1.500000,1.474191,1.423373,0.166524,300.844
settle,280.000,780.000,1.500000,1.534751,1.499287,0.301903,300.707
settle,290.000,790.000,1.500000,1.454797,1.400946,0.510824,299.872
settle,300.000,800.000,1.500000,1.508537,1.473688,0.018220,299.587
settle,310.000,810.000,1.500000,1.487381,1.447285,0.039809,302.009
settle,320.000,820.000,1.500000,1.549682,1.501742,0.617079,299.879
settle,330.000,830.000,1.500000,1.316367,1.271770,8.430234,299.368
settle,340.000,840.000,1.500000,1.321235,1.285923,7.989258,300.534
settle,350.000,850.000,1.500000,1.478263,1.441768,0.118124,300.093
settle,360.000,860.000,1.500000,1.522341,1.479182,0.124778,300.994
settle,370.000,870.000,1.500000,1.454762,1.416867,0.511617,300.666
settle,380.000,880.000,1.500000,1.567028,1.519496,1.123174,301.231
settle,390.000,890.000,1.500000,1.584311,1.531867,1.777086,301.570
settle,400.000,900.000,1.500000,1.623781,1.579240,3.830432,299.832
settle,410.000,910.000,1.500000,1.581112,1.540506,1.644805,299.175
settle,420.000,920.000,1.500000,1.596726,1.561534,2.339000,299.055
settle,430.000,930.000,1.500000,1.577998,1.526466,1.520928,299.105
settle,440.000,940.000,1.500000,1.637111,1.595051,4.699870,299.243
settle,450.000,950.000,1.500000,1.474746,1.437533,0.159435,300.951
settle,460.000,960.000,1.500000,1.565581,1.526487,1.075220,301.719
settle,470.000,970.000,1.500000,1.535324,1.490783,0.311952,299.175
settle,480.000,980.000,1.500000,1.493727,1.452552,0.009837,299.419
settle,490.000,990.000,1.500000,1.551483,1.513093,0.662626,301.718
settle,500.000,1000.000,1.500000,1.464076,1.426295,0.322633,301.131
production,1.000,1001.000,1.500000,1.481757,1.435465,0.083205,302.029
production,100.000,1100.000,1.500000,1.408527,1.359856,2.091849,300.017
production,200.000,1200.000,1.500000,1.455069,1.417334,0.504700,299.416
