branch,target_nm,radius_nm,environment_charge_e,effective_enclosed_charge_e,water_charge_e,ion_charge_e,ligand_charge_e
probe_0p5nm,0.500000,1.070000,-0.816748178,0.183251822,-1.163282832,0.346534653,0.000000000
probe_0p5nm,0.500000,1.090000,-0.680616382,0.319383618,-1.028799267,0.346534653,0.001648232
probe_0p5nm,0.500000,1.110000,-0.490691160,0.509308840,-0.840522277,0.346534653,0.003296464
probe_0p5nm,0.500000,1.130000,-1.205184444,-0.205184444,-1.566733525,0.356435644,0.005113437
probe_0p5nm,0.500000,1.150000,-1.429722786,-0.429722786,-1.781907228,0.346534653,0.005649788
probe_0p5nm,0.500000,1.170000,-1.004386803,-0.004386803,-1.378456535,0.366336634,0.007733098
probe_0p5nm,0.500000,1.190000,-1.097569412,-0.097569412,-1.486043386,0.376237624,0.012236351
probe_0p5nm,0.500000,1.210000,-1.119851830,-0.119851830,-1.519664277,0.386138614,0.013673833
probe_0p5nm,0.500000,1.230000,-0.786850116,0.213149884,-1.196903723,0.386138614,0.023914993
probe_0p5nm,0.500000,1.250000,-1.037929743,-0.037929743,-1.425525782,0.376237624,0.011358416
probe_0p5nm,0.500000,1.270000,-0.883918639,0.116081361,-1.257421327,0.366336634,0.007166054
probe_0p5nm,0.500000,1.290000,-0.825253669,0.174746331,-1.183455366,0.356435644,0.001766054
probe_0p5nm,0.500000,1.310000,-0.918279052,0.081720948,-1.243972970,0.326732673,-0.001038755
probe_0p5nm,0.500000,1.330000,-1.109120000,-0.109120000,-1.412077426,0.306930693,-0.003973267
probe_0p5nm,0.500000,1.350000,-1.494202119,-0.494202119,-1.795355584,0.297029703,0.004123762
probe_0p5nm,0.500000,1.370000,-1.077742232,-0.077742232,-1.391904891,0.297029703,0.017132956
probe_0p5nm,0.500000,1.390000,-0.987066953,0.012933047,-1.304490574,0.287128713,0.030294908
probe_0p5nm,0.500000,1.410000,-1.211397092,-0.211397092,-1.519664277,0.277227723,0.031039462
probe_0p5nm,0.500000,1.430000,-1.083598809,-0.083598809,-1.391904891,0.277227723,0.031078359
probe_0p5nm,0.500000,1.450000,-1.149934801,-0.149934801,-1.452422495,0.267326733,0.035160962
probe_0p5nm,0.500000,1.470000,-0.444167932,0.555832068,-0.753107960,0.277227723,0.031712305
probe_0p5nm,0.500000,1.490000,-1.256468278,-0.256468278,-1.600354416,0.306930693,0.036955445
probe_0p5nm,0.500000,1.510000,-1.744094142,-0.744094142,-2.064322713,0.297029703,0.023198868
probe_0p5nm,0.500000,1.530000,-1.558716244,-0.558716244,-1.923114970,0.326732673,0.037666053
probe_0p5nm,0.500000,1.550000,-0.993914419,0.006085581,-1.351559822,0.316831683,0.040813720
probe_0p5nm,0.500000,1.570000,-1.168387350,-0.168387350,-1.506215921,0.306930693,0.030897878
probe_0p5nm,0.500000,1.590000,-0.272005984,0.727994016,-0.638796931,0.336633663,0.030157284
probe_0p5nm,0.500000,1.610000,-0.730983842,0.269016158,-1.035523446,0.277227723,0.027311881
probe_0p5nm,0.500000,1.630000,-1.117846159,-0.117846159,-1.418801604,0.247524752,0.053430692
probe_0p5nm,0.500000,1.650000,-1.235376026,-0.235376026,-1.512940099,0.217821782,0.059742291
probe_0p5nm,0.500000,1.670000,-1.452198951,-0.452198951,-1.728113802,0.227722772,0.048192078
probe_0p5nm,0.500000,1.690000,-1.774514236,-0.774514236,-2.057598535,0.237623762,0.045460537
probe_0p5nm,0.500000,1.710000,-1.633876134,-0.633876134,-1.876045723,0.168316832,0.073852757
probe_0p5nm,0.500000,1.730000,-0.396820595,0.603179405,-0.605176040,0.148514851,0.059840593
probe_0p5nm,0.500000,1.750000,-0.608768971,0.391231029,-0.827073921,0.168316832,0.049988118
probe_0p5nm,0.500000,1.770000,-1.066898230,-0.066898230,-1.291042218,0.158415842,0.065728146
probe_0p5nm,0.500000,1.790000,-0.473662827,0.526337173,-0.652245287,0.138613861,0.039968599
