time_ps,temperature_K,potential_kJ_per_mol,kinetic_kJ_per_mol,total_kJ_per_mol,graphene_z_min_nm,graphene_z_max_nm,graphene_z_mean_nm,ligand_z_min_nm,ligand_z_max_nm,pyrene_z_mean_nm,pyrene_height_above_graphene_nm,water_z_min_nm,water_z_max_nm,water_below_graphene,na_z_min_nm,na_z_max_nm,cl_z_min_nm,cl_z_max_nm,na_below_graphene,cl_below_graphene,lowest_water_gap_nm,lowest_na_gap_nm,lowest_cl_gap_nm
20.0,49.93175877714931,-385038.61685522133,9955.019532892033,-375083.5973223293,0.47994449537637074,0.5235164567536525,0.5001734689092046,0.7803888278290465,1.7676191070696081,0.8217654437682829,0.3215919748590783,0.7864348610149001,6.563551810255859,0,1.0627860825023792,6.252822756396796,0.8897727786121767,6.058280557468073,0,0,0.2629184042612476,0.5392696257487266,0.3662563218585242
21.000000000001222,81.05509456633845,-378738.5162762506,16160.156770155289,-362578.3595060953,0.4762347916797094,0.5221694400897388,0.49978177142761127,0.7827329125766456,1.8290191974802639,0.8258498836031233,0.326068112175512,0.7780221630156978,6.551261829246187,0,1.0559153755097856,6.234400410587824,0.9025454306518608,6.065213398093491,0,0,0.25585272292595906,0.5337459354200469,0.380375990562122
22.000000000002444,92.9025169063258,-376203.2199129276,18522.206970216936,-357681.01294271066,0.47107225269749176,0.5284885785828521,0.499003487416381,0.776122207501655,1.788002384661585,0.830932145034173,0.331928657617792,0.7759114289478273,6.590978888499336,0,1.0542804688919816,6.260597183413985,0.9200664114450254,6.091031685279248,0,0,0.24742285036497513,0.5257918903091294,0.3915778328621733
23.000000000003666,98.1903964830069,-375263.37759064,19576.464736469137,-355686.91285417083,0.4767406778907075,0.522636920298277,0.5003466866048891,0.7748267432028388,1.7510692205114822,0.8289587237653282,0.3286120371604391,0.7735221347756629,6.570383881989315,0,1.049308035416411,6.249605444498442,0.9018011516530571,6.1076877368803935,0,0,0.2508852144773859,0.526671115118134,0.37916423135478006
24.00000000000489,99.30321751434369,-374904.51311576786,19798.330646560826,-355106.18246920704,0.4673195627232065,0.5307012498291872,0.5003133088870508,0.7725962720966031,1.7233718113005416,0.821319925040232,0.32100661615318116,0.7751579300005761,6.598477718878229,0,1.0886046727122967,6.245146025722605,0.9200516810906016,6.117217447623133,0,0,0.24445668017138888,0.5579034228831095,0.38935043126141444
25.00000000000611,100.63447125887755,-375135.7160646082,20063.746032572326,-355071.97003203584,0.47089600381540386,0.5337451652693534,0.4999364174654924,0.7832179329271582,1.762528541404133,0.8154531421175772,0.31551672465208486,0.7645168790396584,6.597396862957757,0,1.0724664425508124,6.28302296978255,0.9106449995673893,6.088386008376496,0,0,0.23077171377030492,0.5387212772814589,0.37689983429803586
26.000000000007333,99.52937702849967,-375289.968425523,19843.420634098024,-355446.547791425,0.47247686154661483,0.5249129101507766,0.49975856149762676,0.7794404193467432,1.758544331974373,0.8271559373570606,0.32739737585943385,0.7656980991900451,6.615414422804804,0,1.0742872223069035,6.258024159001156,0.9084195283344414,6.135260567619189,0,0,0.2407851890392685,0.549374312156127,0.3835066181836648
27.000000000008555,101.1855800449551,-375350.03572428646,20173.62196853998,-355176.4137557465,0.473797505517386,0.5299612434645731,0.5015559121898545,0.7703308212351239,1.7066516637335383,0.8218385432086737,0.32028263101881915,0.7691163865481112,6.591429706114949,0,1.0819245063434764,6.269434878221318,0.8799133574292419,6.146522237295542,0,0,0.23915514308353814,0.5519632628789033,0.34995211396466885
28.000000000009777,99.99036627275379,-375492.0556665035,19935.32921179273,-355556.72645471076,0.46977096518709094,0.5324056096409837,0.5003151606848641,0.7795373724280701,1.7062731252153611,0.8185080488386705,0.3181928881538063,0.7640914055857184,6.623703005515206,0,1.0766128070387957,6.231615745138427,0.8821534330787273,6.137958409670617,0,0,0.2316857959447347,0.544207197397812,0.3497478234377436
29.000000000011,100.13187220355194,-375858.5933926157,19963.541602856356,-355895.0517897593,0.4703840835035482,0.5265966208676929,0.5001647765045649,0.7608428849807058,1.702148640702827,0.8219332805959196,0.3217685040913547,0.7772038851061467,6.623899207458962,0,1.0704749301733862,6.257882816125246,0.8978716366603496,6.123668407882903,0,0,0.2506072642384538,0.5438783093056934,0.37127501579265676
