time_ps,temperature_K,potential_kJ_per_mol,kinetic_kJ_per_mol,total_kJ_per_mol,graphene_z_min_nm,graphene_z_max_nm,graphene_z_mean_nm,pyrene_height_above_graphene_nm,ligand_z_min_nm,ligand_z_max_nm,water_z_min_nm,water_z_max_nm,water_below_graphene,water_above_upper_wall,water_below_lower_wall,upper_wall_violation_nm,lower_wall_violation_nm
100.0,300.1400178875826,-308679.9567166362,59974.42261216057,-248705.53410447564,0.4539554505994632,0.5402986551404929,0.49745176016543136,0.3226301587852478,0.7483544019808921,1.889833679266804,0.7565207765990891,6.6269536742709505,0,0,0,0.0,0.0
101.00000000000477,298.9621185568223,-308022.46530126827,59739.0530244768,-248283.41227679147,0.46130523582801164,0.549063588935546,0.5000067650874089,0.33091907912499685,0.7304832671817216,1.886627058843212,0.7791204157656075,6.667021494455398,0,0,0,0.0,0.0
102.00000000000955,302.47878246842015,-307982.0927619701,60441.75801231385,-247540.33474965626,0.4559708175129531,0.5462596865444942,0.5009933142371498,0.335015782204647,0.7785370036440362,1.916601380560742,0.7631554118449904,6.724619124524224,0,0,0,0.0,0.0
103.00000000001432,300.55227034054246,-308270.4657637547,60056.79950748672,-248213.66625626796,0.4511461459823076,0.5521826318908705,0.4982407429510569,0.35345837260714985,0.7552481414073133,1.8664048392878065,0.7667063519864676,6.628538378300789,0,0,0,0.0,0.0
104.0000000000191,301.96933551373695,-308115.8600317347,60339.95956779555,-247775.90046393912,0.4509901682116193,0.5430296490292168,0.5031379681561216,0.33539815625409775,0.7560817691813275,1.9063631213478072,0.7705505657047738,6.727856409538688,0,0,0,0.0,0.0
105.00000000002387,299.9626045109591,-306671.89634629944,59938.97160865376,-246732.9247376457,0.4628159908820164,0.5425382967605934,0.5012893363841933,0.3474589417089886,0.7498458201474101,1.9541728587046405,0.7605581146496849,6.687277912589977,0,0,0,0.0,0.0
106.00000000002865,302.3008865412393,-307411.83711874904,60406.21058484044,-247005.6265339086,0.4509764617814583,0.5380649798204189,0.5005407033086687,0.33596873469536315,0.7545551191232427,1.938084881081572,0.7556634342059922,6.725712299381529,0,0,0,0.0,0.0
107.00000000003342,300.3436739035411,-307657.6763334037,60015.11745870109,-247642.5588747026,0.46269983461865616,0.5386728435862498,0.5010813350766397,0.3495822540106409,0.7594645252743248,1.9164346823666172,0.7707162845440916,6.673732508085095,0,0,0,0.0,0.0
108.0000000000382,300.4305273633871,-308439.2210911154,60032.472645599504,-248406.74844551587,0.46469070158701964,0.5338719354750108,0.5000087795236665,0.3362308956895488,0.7477242007310778,1.891738263622198,0.7575497989296363,6.78794554246673,0,0,0,0.0,0.0
109.00000000004297,300.77122211253106,-308250.49140845425,60100.55077463646,-248149.9406338178,0.4661913553256678,0.5345770100521285,0.4987694475161756,0.3309683482243465,0.7324568114825967,1.8148064013682372,0.7707829730469662,6.741637744638091,0,0,0,0.0,0.0
110.00000000004775,298.21294327097485,-307666.57119295886,59589.35171000287,-248077.219482956,0.4608184953207406,0.5372922519121497,0.4998989349929564,0.3106996964057877,0.7331766955572778,1.7941888561603843,0.7622110256530177,6.7393092470090465,0,0,0,0.0,0.0
