time_ps,temperature_K,potential_kJ_per_mol,kinetic_kJ_per_mol,total_kJ_per_mol,graphene_z_min_nm,graphene_z_max_nm,graphene_z_mean_nm,ligand_z_min_nm,ligand_z_max_nm,pyrene_z_mean_nm,pyrene_height_above_graphene_nm,water_z_min_nm,water_z_max_nm,water_below_graphene,na_z_min_nm,na_z_max_nm,k_z_min_nm,k_z_max_nm,cl_z_min_nm,cl_z_max_nm,h2po4_z_min_nm,h2po4_z_max_nm,hpo4_z_min_nm,hpo4_z_max_nm,na_below_graphene,k_below_graphene,cl_below_graphene,h2po4_atoms_below_graphene,hpo4_atoms_below_graphene,lowest_water_gap_nm,lowest_na_gap_nm,lowest_k_gap_nm,lowest_cl_gap_nm,lowest_h2po4_gap_nm,lowest_hpo4_gap_nm
5500.000000661747,299.2986941859942,-1977518.0813399218,291065.8268422077,-1686452.254497714,0.45697219168344283,0.5365638975916962,0.4998914515720391,0.7513700139086981,1.114246842356392,0.8236682057041345,0.32377675413209533,0.7770005358671863,35.34618457861279,0,1.683371870413609,34.05878353831372,3.721950722832535,19.269602823991534,1.7924821731252294,34.6922741256094,30.90476218529591,31.18393415801586,7.349163825789731,24.93455858323469,0,0,0,0,0,0.2404366382754901,1.1468079728219127,3.1853868252408386,1.2559182755335332,30.36819828770421,6.8125999281980345
5501.000000661951,301.6833759026085,-1976624.1807124764,293384.9126554271,-1683239.2680570493,0.45960176552853227,0.5397569707442607,0.4994140794048918,0.7538107942337913,1.1470801899158571,0.850043306433834,0.35062922702894217,0.752936410203052,35.3650732716867,0,1.6871681512603516,33.988730221786454,3.7281785766084,19.26087293079246,1.7781603078998742,34.66255522292465,30.923615048699162,31.118127141019443,7.342372281092253,24.876713795723674,0,0,0,0,0,0.21317943945879136,1.147411180516091,3.1884216058641393,1.2384033371556136,30.3838580779549,6.802615310347992
5502.000000662155,300.5592053425811,-1976405.034150865,292291.66487345484,-1684113.3692774102,0.45354352853264146,0.5391705217531069,0.4993265562372776,0.7423470580890978,1.0857513075230418,0.8460793238736466,0.346752767636369,0.7622405255921039,35.40081785041938,0,1.7207913238722057,34.03119636905177,3.779551638526229,19.2484506811914,1.7237847253427887,34.680228772722444,30.89190247153448,31.17002178694429,7.315658324679049,24.82172850300435,0,0,0,0,0,0.223070003838997,1.1816208021190988,3.240381116773122,1.1846142035896818,30.352731949781372,6.776487802925942
5503.000000662359,301.50857763387336,-1976894.8061789796,293214.9225966387,-1683679.883582341,0.45773903170663965,0.5401227453420157,0.501438417527592,0.7527454549365817,1.0732260326426655,0.8236995089232177,0.32226109139562575,0.7573737342683611,35.40927170216307,0,1.6346340828228278,34.025015094640025,3.835228984166818,19.34010589282792,1.752231625838208,34.64889484787966,30.89140862542081,31.18389700569943,7.347576263206832,24.830416566062127,0,0,0,0,0,0.21725098892634542,1.0945113374808122,3.2951062388248022,1.2121088804961924,30.351285880078795,6.807453517864817
5504.000000662562,299.4904879297552,-1978430.4639137387,291252.34487818775,-1687178.1190355509,0.4540101576096529,0.5410346915684565,0.49997547341315685,0.7573458449265189,1.0766770054000432,0.8147603720774562,0.3147848986642994,0.7499650545617218,35.45923498192906,0,1.7410477159462872,34.03975162048823,3.716515505564516,19.35245368611089,1.7554693100026135,34.60859656348572,30.91148941215178,31.21596458809023,7.383855723476344,24.829602902172383,0,0,0,0,0,0.20893036299326528,1.2000130243778306,3.1754808139960593,1.214434618434157,30.370454720583325,6.842821031907888
5505.000000662766,301.43461030668004,-1979427.0260458887,293142.9899030886,-1686284.0361428,0.46341085280226024,0.5440271621140074,0.49962586512288426,0.7413783000838094,1.0900277708950483,0.8224767117240411,0.32285084660115687,0.7580876592163346,35.349135961917085,0,1.8072672713706481,33.959007950636874,3.7927941304075503,19.252850497687575,1.779795626679542,34.57362147137758,30.74575988419322,31.03428270361645,7.4949299769140225,24.83749221545908,0,0,0,0,0,0.21406049710232722,1.2632401092566408,3.248766968293543,1.2357684645655347,30.201732722079214,6.950902814800015
5506.00000066297,300.85443961980565,-1977839.478389863,292578.7780840428,-1685260.7003058202,0.4599898748894572,0.5390820224445498,0.502096657146997,0.7409201178350227,1.0604096487929127,0.8344181611772195,0.3323215040302224,0.7619092664051532,35.36100392765746,0,1.7414913286804214,33.90245148238097,3.816292877405168,19.169475963051582,1.698782326107332,34.51596193677892,30.69043801413028,30.987358191686873,7.53978146272776,24.83306914990638,0,0,0,0,0,0.22282724396060338,1.2024093062358716,3.277210854960618,1.1597003036627822,30.15135599168573,7.00069944028321
5507.0000006631735,299.08423169546825,-1976955.343238566,290857.2636130852,-1686098.0796254808,0.45162303821434513,0.5425660640196992,0.4967801219058206,0.7377620891756633,1.0602945284011547,0.826003518310044,0.32922339640422343,0.7768901934567687,35.381601603475474,0,1.716749215821002,33.88045606969126,3.8675744881624787,19.20321558054337,1.733839043011403,34.51800763279459,30.791315235776295,31.06050530723266,7.5028622756768755,24.76439437215481,0,0,0,0,0,0.23432412943706948,1.1741831518013028,3.3250084241427795,1.1912729789917038,30.248749171756597,6.960296211657177
5508.000000663377,298.97785426307735,-1976564.2148985676,290753.8123253995,-1685810.4025731683,0.467425629917793,0.539052606155418,0.5008737623388564,0.7226127627239478,1.0654000266202814,0.8237011569674904,0.32282739462863397,0.7648031404683575,35.34492495291397,0,1.776310235518082,33.81055483025969,3.896519628501867,19.15732895675808,1.749081533736124,34.50766705096919,30.792295811922827,31.10108377551998,7.593584802023415,24.74701151656265,0,0,0,0,0,0.22575053431293957,1.237257629362664,3.357467022346449,1.2100289275807061,30.253243205767408,7.0545321958679965
5509.000000663581,298.51835650393105,-1976796.738238588,290306.95406040834,-1686489.7841781797,0.4556005249787285,0.5471974324620614,0.5014174162297067,0.7379840365228052,1.0711349893638769,0.8357001910837447,0.334282774854038,0.7810909863104287,35.3308605169737,0,1.791985796647939,33.79901178512796,3.8719839892459227,19.13688986820563,1.8208877162701853,34.489560679032365,30.82806901665157,31.128584342477154,7.579785029906873,24.763948921723795,0,0,0,0,0,0.2338935538483673,1.2447883641858777,3.3247865567838613,1.2736902838081239,30.280871584189505,7.032587597444811
5510.000000663785,299.70986751354303,-1978584.3146255724,291465.68994513224,-1687118.6246804402,0.4655350507222322,0.5359623240483025,0.49859776166631326,0.7253403417670192,1.0971296322757844,0.8404217366873407,0.3418239750210274,0.7732240444549383,35.31616953546427,0,1.7187460604117266,33.86399286058236,3.985396904204734,19.09588294202672,1.9200148863340925,34.42888089543851,30.841176883195836,31.16967947870421,7.694629228876188,24.732208094719198,0,0,0,0,0,0.23726172040663585,1.1827837363634242,3.4494345801564315,1.38405256228579,30.305214559147533,7.158666904827886
5511.000000663988,300.4905024313813,-1977829.0944472477,292224.8517865845,-1685604.242660663,0.4581209517964284,0.5420270152728754,0.4994001388625458,0.7209838877802426,1.0800218595680853,0.848963658573225,0.34956351971067917,0.771750510751223,35.29249449558222,0,1.7749507525980492,33.95192424607808,3.944590624956618,19.015055295232912,1.8977390789417043,34.44970244960746,30.818344021419627,31.141963946243337,7.685254831388036,24.71836671429891,0,0,0,0,0,0.22972349547834758,1.2329237373251738,3.4025636096837424,1.355712063668829,30.27631700614675,7.143227816115161
