time_ps,temperature_K,potential_kJ_per_mol,kinetic_kJ_per_mol,total_kJ_per_mol,graphene_z_min_nm,graphene_z_max_nm,graphene_z_mean_nm,ligand_z_min_nm,ligand_z_max_nm,pyrene_z_mean_nm,pyrene_height_above_graphene_nm,pyrene_tilt_from_graphene_plane_deg,pyrene_plane_rms_nm,water_z_min_nm,water_z_max_nm,water_below_graphene
220.0,302.9045951696756,-308018.3041217597,60526.844536524964,-247491.45958523476,0.44842577871297973,0.5389553071525057,0.49898289502781007,0.7434147536699807,1.6781075111611905,0.8098437197719285,0.3108608247441184,2.752203478907477,0.007185869988611625,0.7629567661345611,6.90468487811124,0
221.00000000000477,300.1384323332561,-308755.7503069355,59974.10578434827,-248781.64452258724,0.4533418564843412,0.5397268814920899,0.5005455648156136,0.7197030673566349,1.6877928144180707,0.8260006111914564,0.32545504637584277,1.2459164449093947,0.004816995123119212,0.7572424074257871,6.85501839042351,0
222.00000000000955,298.28842822352277,-308854.8922224515,59604.43522494643,-249250.4569975051,0.44992666091654865,0.5423145876044876,0.5011928745773943,0.7803717296015318,1.7511879572813882,0.839474205085598,0.33828133050820375,3.5347310813649053,0.004695239916168025,0.7570854627081225,6.805034460237522,0
223.00000000001432,299.1693003831044,-308266.4594101333,59780.452403654745,-248486.00700647855,0.46451598598932664,0.5400711261616342,0.5008720421209875,0.7519526060974542,1.7412947344834322,0.8296007886756458,0.32872874655465834,2.21503650949286,0.008013323136347646,0.7752201091856419,6.751162601771796,0
224.0000000000191,300.4824226509702,-309067.25920441514,60042.84243877468,-249024.41676564046,0.4623298864314389,0.5393150538680018,0.500325018346183,0.759123834100583,1.802175947060082,0.8350056280959166,0.33468060974973357,3.0145491260587227,0.007287635327063077,0.7845622374378727,6.710928495970343,0
225.00000000002387,300.5046144084295,-307774.3762287977,60047.276828596274,-247727.09940020143,0.46250650941986704,0.5380267040878044,0.501508427043748,0.7351572376463018,1.7573231508785705,0.8281550734167509,0.3266466463730029,4.615455887671625,0.009837391576487668,0.7705503228908448,6.815072352533264,0
226.00000000002865,299.3639275225387,-308454.44215950323,59819.34308672453,-248635.0990727787,0.45720039857906336,0.5404847025327086,0.5006721178854772,0.7654055369465306,1.7384623381260553,0.850004371286533,0.3493322534010558,6.893808499025159,0.006831684319994056,0.7624690349715912,6.738298558101263,0
227.00000000003342,299.658780288002,-308864.13500650506,59878.261002731604,-248985.87400377347,0.45469752276451514,0.5315626928069337,0.49837602152757665,0.725106855811255,1.7772093969178737,0.8349347201586734,0.3365586986310968,7.926176541497757,0.006120872055739181,0.7696454976679084,6.71742522223343,0
228.0000000000382,300.1893548785302,-308523.65868616104,59984.2812027155,-248539.37748344554,0.4610638867448231,0.5465887933611864,0.5009558690850444,0.7519220921898171,1.872413294600971,0.828533523890043,0.32757765480499856,2.320666228223885,0.004819008146041718,0.7750936150420794,6.75611171970818,0
229.00000000004297,298.193830416641,-307673.8063628925,59585.532551160904,-248088.2738117316,0.4664287887697618,0.5408777864801682,0.4984426266057868,0.7626038785497639,1.5931317642654985,0.8402228818204653,0.34178025521467853,2.990591576029539,0.006300734230415725,0.7634673030566841,6.708924514259465,0
