lag_frames,lag_ps,lag_ns,n_time_origins,msd_nm2,sd_squared_displacement_nm2,descriptive_sem_nm2
78,156.0,0.156,2422,0.4373933273485182,0.4434333186401771,0.009010341523404655
79,158.0,0.158,2421,0.4435963997494802,0.44860708733456905,0.009117352284710816
80,160.0,0.16,2420,0.4494241785794328,0.45342578051585053,0.009217189708948558
81,162.0,0.162,2419,0.4552836267828833,0.4584646359231154,0.009321545149025582
82,164.0,0.164,2418,0.4607125657065162,0.46303022899669627,0.009416319733423278
83,166.0,0.166,2417,0.4661212229787982,0.467199727869487,0.009503077169061768
84,168.0,0.168,2416,0.4719263136891658,0.4726804755052818,0.009616547891316551
85,170.0,0.17,2415,0.47802563732348186,0.47834522955507774,0.009733810333998751
86,172.0,0.172,2414,0.48361646724505375,0.48331229038623275,0.009836921513914498
87,174.0,0.174,2413,0.48920607161570306,0.4880846733244294,0.009936112711731383
88,176.0,0.176,2412,0.49463880153286666,0.4920627502039729,0.010019172130142464
89,178.0,0.178,2411,0.5004408379648294,0.49599765311508665,0.010101387149994529
90,180.0,0.18,2410,0.5062197777854986,0.5002793259868072,0.010190700422827015
91,182.0,0.182,2409,0.5120824146554365,0.5052535774026806,0.010294161968935404
92,184.0,0.184,2408,0.5178340625529597,0.5093780077095645,0.010380348854114927
93,186.0,0.186,2407,0.5237029213715654,0.5140984733362088,0.010478720802159674
94,188.0,0.188,2406,0.5296044224166228,0.5188307952984271,0.010577375794547764
95,190.0,0.19,2405,0.5353460117200153,0.5227701408670746,0.010659902527944276
96,192.0,0.192,2404,0.5411616072497524,0.5278146359624823,0.010765004038712545
97,194.0,0.194,2403,0.5469524735680397,0.5319002101703227,0.01085058807535507
98,196.0,0.196,2402,0.5523781174836864,0.5357630504462968,0.010931663560637269
99,198.0,0.198,2401,0.5580452854765984,0.5388003556660187,0.010995925625837117
100,200.0,0.2,2400,0.5635465143744562,0.5413981782857314,0.011051244037269979
101,202.0,0.202,2399,0.5685110256366012,0.5440892636863811,0.011108490097875644
102,204.0,0.204,2398,0.5734234462765624,0.546878457867813,0.011167763980622438
103,206.0,0.206,2397,0.577917774804551,0.5487337181389965,0.011207987299997979
104,208.0,0.208,2396,0.5825137428398426,0.5511090314895208,0.011258852287730927
105,210.0,0.21,2395,0.5868063417110432,0.5524660330105259,0.011288931110059864
106,212.0,0.212,2394,0.5914231426335972,0.5550852559151529,0.01134482023898867
107,214.0,0.214,2393,0.5959303862568687,0.5576167241989706,0.011398939311554208
108,216.0,0.216,2392,0.601027862283657,0.5613829002643662,0.011478326980142036
109,218.0,0.218,2391,0.6061558501156649,0.5649308459491331,0.011553285361181453
110,220.0,0.22,2390,0.6114085417706687,0.5694689664430945,0.011648529703074843
111,222.0,0.222,2389,0.6167429862728621,0.5739103978327486,0.01174183621777202
112,224.0,0.224,2388,0.6219427543075613,0.5777316600098927,0.011822491393717185
113,226.0,0.226,2387,0.6272151277048368,0.5818306668938048,0.011908865727825312
114,228.0,0.228,2386,0.632261679040833,0.5858352064226635,0.011993342821693943
115,230.0,0.23,2385,0.637141113711235,0.5895168359364973,0.012071243786906395
116,232.0,0.232,2384,0.6417753529251999,0.593507535921201,0.012155507962381223
117,234.0,0.234,2383,0.6464727287990448,0.5968126620478307,0.012225763980285412
118,236.0,0.236,2382,0.651549551310784,0.6004373433095925,0.012302597516077792
119,238.0,0.238,2381,0.6565988843222521,0.6042278002297199,0.012382861212763033
120,240.0,0.24,2380,0.6610230152236426,0.6071637663883181,0.012445643819838021
121,242.0,0.242,2379,0.6651284734015737,0.6099872754919293,0.012506147731798211
122,244.0,0.244,2378,0.6692720217817746,0.6129976886880675,0.012570510405269793
123,246.0,0.246,2377,0.6731839119972182,0.6159858014217452,0.012634443302888829
124,248.0,0.248,2376,0.6773786998582483,0.619039590915611,0.012699751036839792
125,250.0,0.25,2375,0.6814845265066991,0.621719286928927,0.012757410589257952
126,252.0,0.252,2374,0.6857496269374485,0.6244517711142685,0.012816178408587165
127,254.0,0.254,2373,0.6897042917366913,0.6262851624449548,0.01285651478751313
128,256.0,0.256,2372,0.6935451138631354,0.628266067312267,0.012899897566426352
129,258.0,0.258,2371,0.6974915918583919,0.6297069954874812,0.01293220978170353
130,260.0,0.26,2370,0.701741530159289,0.6314136739684993,0.012969995033562358
131,262.0,0.262,2369,0.706473316177725,0.6340111031238871,0.013026097759115791
132,264.0,0.264,2368,0.7111132468279084,0.6361757700190283,0.013073331542416767
133,266.0,0.266,2367,0.7152903189307747,0.637573881557015,0.013104829916860542
134,268.0,0.268,2366,0.719707961121935,0.6390744366968351,0.013138448278929168
135,270.0,0.27,2365,0.724264956352948,0.6406042151548572,0.01317268235608051
136,272.0,0.272,2364,0.7286815020085596,0.6424087613883451,0.013212582718502744
137,274.0,0.274,2363,0.7330372236529746,0.6446501689330747,0.013261487491566411
138,276.0,0.276,2362,0.7372130941567521,0.6466453017753194,0.013305346221139531
139,278.0,0.278,2361,0.7412282027441565,0.6496170907807418,0.013369324010425388
140,280.0,0.28,2360,0.7450658577814266,0.6514445228612752,0.013409773288411362
141,282.0,0.282,2359,0.7487700240617586,0.6534543666757584,0.013453995993500953
142,284.0,0.284,2358,0.7524892406151221,0.6552743894626312,0.013494328992736808
143,286.0,0.286,2357,0.755874095072181,0.6558600731698199,0.013509255074501127
144,288.0,0.288,2356,0.7594130098410131,0.6569153655015423,0.013533863041465208
145,290.0,0.29,2355,0.7628356511362815,0.6573807018718285,0.013546325128915982
146,292.0,0.292,2354,0.7663970310560061,0.6583587196507857,0.01356935994074347
147,294.0,0.294,2353,0.7697240127799801,0.6588473211408536,0.01358231570320971
148,296.0,0.296,2352,0.7734792138691521,0.6602155245497421,0.013613414672212986
149,298.0,0.298,2351,0.7775164805594835,0.6621239690791473,0.013655669434752707
150,300.0,0.3,2350,0.7814293085403288,0.6643103241416753,0.013703675648575796
151,302.0,0.302,2349,0.7853853059142718,0.6665115530211692,0.013752009804130893
152,304.0,0.304,2348,0.7895213081418466,0.6686153487319484,0.013798354415130968
153,306.0,0.306,2347,0.7933894606701754,0.6695225489706944,0.013820019743455805
154,308.0,0.308,2346,0.7974700670766228,0.6698452376663538,0.013829627104828527
155,310.0,0.31,2345,0.8014445993754061,0.6690689765926152,0.013816545432647225
156,312.0,0.312,2344,0.8052079395341323,0.6680472874522765,0.013798389539017013
157,314.0,0.314,2343,0.8086138151476511,0.6666347764275005,0.013772152451938281
158,316.0,0.316,2342,0.8117461764252292,0.6645743805559989,0.013732517140877872
159,318.0,0.318,2341,0.8151857334552992,0.6633359092557348,0.013709853098456643
160,320.0,0.32,2340,0.8186654129111041,0.6620363071594491,0.013685916274490326
161,322.0,0.322,2339,0.8224177485576922,0.6619904126268575,0.013687892597712562
162,324.0,0.324,2338,0.8264776049324059,0.6624568659606392,0.013700466409461405
163,326.0,0.326,2337,0.8305539543578162,0.6637696195295516,0.013730552556889453
164,328.0,0.328,2336,0.8344220379410155,0.6656708177020915,0.013772827215025107
165,330.0,0.33,2335,0.8384360518130192,0.6686013175270883,0.013836421567669479
166,332.0,0.332,2334,0.8421497940620708,0.6706540722302754,0.013881875340947227
167,334.0,0.334,2333,0.8462451986254846,0.6733950683616032,0.013941598199230623
168,336.0,0.336,2332,0.8502416193182762,0.67468317269259,0.013971260987561716
169,338.0,0.338,2331,0.8542150795201245,0.6764889759952428,0.01401165989055185
170,340.0,0.34,2330,0.8582575262703339,0.6774653126096574,0.014034892902822282
171,342.0,0.342,2329,0.8625498617500155,0.6785481128164063,0.01406034259011029
172,344.0,0.344,2328,0.8667753091435377,0.6788321214081444,0.01406924836635842
173,346.0,0.346,2327,0.8709728241030227,0.6801893315965236,0.014100406215559936
174,348.0,0.348,2326,0.875575534801389,0.6818469392403148,0.014137806722150769
175,350.0,0.35,2325,0.8797854287984616,0.6843863552891135,0.014193511819348505
176,352.0,0.352,2324,0.884113222663803,0.6863871632151615,0.014238068922362089
177,354.0,0.354,2323,0.8886349953766626,0.6888809604774417,0.014292874384151623
178,356.0,0.356,2322,0.8930409043192729,0.6910785293195527,0.01434155664722856
179,358.0,0.358,2321,0.8975323594223247,0.6928823697789154,0.014382087966133252
180,360.0,0.36,2320,0.9022131603397419,0.6954124723243335,0.014437715615112484
181,362.0,0.362,2319,0.906514928938157,0.6971222788261728,0.014476333776252346
182,364.0,0.364,2318,0.9110218389041581,0.6999704059215224,0.014538612555287432
183,366.0,0.366,2317,0.9149660494155818,0.7020380342478063,0.014584704173438897
184,368.0,0.368,2316,0.9188507194310386,0.7036006648563776,0.01462032287354636
185,370.0,0.37,2315,0.9225448088093795,0.7041590714897162,0.01463508606943339
186,372.0,0.372,2314,0.9264022065954834,0.7056583107196622,0.014669414607606996
187,374.0,0.374,2313,0.9297205986472937,0.7073245953859522,0.01470723200519407
188,376.0,0.376,2312,0.9335518821099962,0.7094181022649048,0.014753951494353114
189,378.0,0.378,2311,0.9372193899053701,0.7122638542193322,0.014816339905032904
190,380.0,0.38,2310,0.9408739264272848,0.7151845420757722,0.014880315147365179
191,382.0,0.382,2309,0.944273366705315,0.7174293003184253,0.014930252175933913
192,384.0,0.384,2308,0.9476274870607392,0.7200993579417019,0.014989064259002545
193,386.0,0.386,2307,0.951373021087082,0.7223848283660517,0.015039895510948729
194,388.0,0.388,2306,0.9553779244893121,0.7254291658757267,0.0151065523813208
195,390.0,0.39,2305,0.9597355767256375,0.7300824215948775,0.015206750731783101
196,392.0,0.392,2304,0.9640726317544848,0.7350506245829336,0.015313554678811117
197,394.0,0.394,2303,0.9680718339733917,0.7391515276774997,0.015402333042904896
198,396.0,0.396,2302,0.9721082931766972,0.7429520670233047,0.015484890394708739
199,398.0,0.398,2301,0.9760822722623052,0.7454612472799895,0.015540563501650164
200,400.0,0.4,2300,0.979985637988698,0.7477695688002531,0.015592073348809623
201,402.0,0.402,2299,0.9841668739025364,0.7499876123470139,0.015641723498220052
202,404.0,0.404,2298,0.9885576088871281,0.7537740626695717,0.015724113758953856
203,406.0,0.406,2297,0.9926320278363396,0.7566296377221844,0.015787117862783268
204,408.0,0.408,2296,0.9970242703817296,0.7595357642109881,0.015851205137737256
205,410.0,0.41,2295,1.0009732687779693,0.7634570195947136,0.015936511028989353
206,412.0,0.412,2294,1.004726755444675,0.7666256474752993,0.016006140977230115
207,414.0,0.414,2293,1.0088155971134714,0.7707630441487875,0.016096033081263242
208,416.0,0.416,2292,1.01284896079229,0.7733478157483823,0.016153534240699225
209,418.0,0.418,2291,1.0161430951629253,0.7754154343436976,0.01620025671666694
210,420.0,0.42,2290,1.0196224314492457,0.7769913351891352,0.01623672497683447
211,422.0,0.422,2289,1.0230646862122652,0.7783897731756373,0.0162695007027514
212,424.0,0.424,2288,1.0264947167821437,0.7799821611617911,0.01630634625549027
213,426.0,0.426,2287,1.0304875263257354,0.7822670898180772,0.016357690149521143
214,428.0,0.428,2286,1.0345945562673373,0.7845495275152343,0.016409005181927776
215,430.0,0.43,2285,1.0384667437022344,0.7871992346333432,0.01646802664361862
216,432.0,0.432,2284,1.0423732281424476,0.7902311046198578,0.01653507123875547
217,434.0,0.434,2283,1.0461232489745822,0.7926248892871025,0.01658879154337776
218,436.0,0.436,2282,1.0502156451135771,0.795751744153269,0.01665788191637675
219,438.0,0.438,2281,1.0542057406488428,0.8000094716978862,0.016750681702137837
220,440.0,0.44,2280,1.0583375584852939,0.8033304026831682,0.01682390394066933
221,442.0,0.442,2279,1.062280640952098,0.8076445906347738,0.016917965151874503
222,444.0,0.444,2278,1.0663797649235927,0.8115568984406669,0.017003648312322966
223,446.0,0.446,2277,1.070463527440186,0.815158647906378,0.017082861701855034
224,448.0,0.448,2276,1.0743176564958263,0.8187774338177107,0.017162467813886924
225,450.0,0.45,2275,1.0781660904875712,0.8209490207168713,0.017211768202784083
226,452.0,0.452,2274,1.0821908022449864,0.8242002564718124,0.017283731665501203
227,454.0,0.454,2273,1.086144310954809,0.8283280053362562,0.017374112408202993
228,456.0,0.456,2272,1.0901583787677864,0.831101947442728,0.0174361315284503
229,458.0,0.458,2271,1.0943487077340468,0.8344931860517895,0.017511132240412113
230,460.0,0.46,2270,1.0982026973015229,0.8367532697193245,0.017562425278640558
231,462.0,0.462,2269,1.1025439208413312,0.8400637315512415,0.017635792777653644
232,464.0,0.464,2268,1.1067333789154725,0.8443856291448173,0.017730431629793646
233,466.0,0.466,2267,1.1109678465015194,0.8490951580640878,0.017833254368727635
234,468.0,0.468,2266,1.115433616556046,0.8535351389500837,0.017930460867742044
235,470.0,0.47,2265,1.1197613425465076,0.8577923451588334,0.018023870698955516
236,472.0,0.472,2264,1.1242146543743237,0.8633621695758844,0.01814490938762089
237,474.0,0.474,2263,1.1287176061905253,0.86862392496713,0.018259526451741517
238,476.0,0.476,2262,1.1334431585296758,0.8741999287356411,0.018380802408253683
239,478.0,0.478,2261,1.1381646994899106,0.8792799441445774,0.01849170200329657
240,480.0,0.48,2260,1.1430325083290844,0.8844502829399655,0.01860455152932579
241,482.0,0.482,2259,1.14825087326926,0.8887860618730032,0.01869989292685258
242,484.0,0.484,2258,1.1534719837102767,0.894488786603147,0.01882404410754463
243,486.0,0.486,2257,1.1583446185012962,0.8995369281827511,0.018934472798380696
244,488.0,0.488,2256,1.1632238284668248,0.9048313300886894,0.019050136071884084
245,490.0,0.49,2255,1.1680630465565887,0.9110404652977703,0.01918511444183567
246,492.0,0.492,2254,1.1728754586219896,0.917135296807415,0.019317746031426778
247,494.0,0.494,2253,1.1774776809846965,0.9235239153536735,0.01945662687725766
248,496.0,0.496,2252,1.1818771008990987,0.9278469955416715,0.019552044306443982
249,498.0,0.498,2251,1.186132890537623,0.9325442611413649,0.01965539184785919
250,500.0,0.5,2250,1.190615140641065,0.9376378066628296,0.019767140595594295
251,502.0,0.502,2249,1.1950513738390827,0.9427141667839144,0.019878577616264152
252,504.0,0.504,2248,1.199974420980522,0.9481215974964563,0.019997047865299034
253,506.0,0.506,2247,1.2043883674450035,0.9523495024321343,0.020090688634756926
254,508.0,0.508,2246,1.2091395263224791,0.9562586522676618,0.020177646153370674
255,510.0,0.51,2245,1.2140104046381812,0.9608947517159955,0.02027998589759951
256,512.0,0.512,2244,1.2189949006305358,0.9661251988013525,0.020394918932240276
257,514.0,0.514,2243,1.2242903771887972,0.9716530914419595,0.020516184689146285
258,516.0,0.516,2242,1.230223386192463,0.977690552966769,0.020648267346365597
259,518.0,0.518,2241,1.235986988815719,0.9836362328944421,0.020778471149325038
260,520.0,0.52,2240,1.241709839017977,0.990297483242124,0.02092385328522557
261,522.0,0.522,2239,1.247880907184415,0.997940956177204,0.021090059255056866
262,524.0,0.524,2238,1.254123532888514,1.004440149889847,0.021232152413672024
263,526.0,0.526,2237,1.2604187777648517,1.0110665609781009,0.021376999897063525
264,528.0,0.528,2236,1.2668523765767483,1.0187273886073143,0.02154378879292058
265,530.0,0.53,2235,1.2732134671005466,1.026344399247218,0.021709726537621668
266,532.0,0.532,2234,1.2797087553825248,1.034179303851094,0.021880349659336603
267,534.0,0.534,2233,1.2859523774817094,1.0408919835578572,0.022027301805381243
268,536.0,0.536,2232,1.2924017233887464,1.0477824794195052,0.022178084659141943
269,538.0,0.538,2231,1.298738438681746,1.055406073274779,0.02234445692992295
270,540.0,0.54,2230,1.304932758286422,1.062752354767041,0.022505032497118584
271,542.0,0.542,2229,1.3112613767690247,1.0697249494216121,0.0226577661854124
272,544.0,0.544,2228,1.317794330740417,1.077416072592925,0.022825792065770376
273,546.0,0.546,2227,1.3244282120193043,1.0843901131113896,0.022978699234429932
274,548.0,0.548,2226,1.3306767410842677,1.0912657508227055,0.023129590570985493
275,550.0,0.55,2225,1.3365484314514902,1.096458907861794,0.023244882356951806
276,552.0,0.552,2224,1.343008359332299,1.1023787857412584,0.0233756370594946
277,554.0,0.554,2223,1.3495413683050779,1.1072164696349682,0.023483498964818772
278,556.0,0.556,2222,1.3561915761383445,1.111652452763269,0.023582888804067257
279,558.0,0.558,2221,1.3629172247303802,1.115933963344471,0.02367904681860305
280,560.0,0.56,2220,1.3693920374189763,1.1194354392701644,0.02375869402458914
281,562.0,0.562,2219,1.3756637198644341,1.121694791814701,0.02381200978114062
282,564.0,0.564,2218,1.3819923871944528,1.1245524399924838,0.02387805462066708
283,566.0,0.566,2217,1.388532626805376,1.1284162564732323,0.02396549963382196
284,568.0,0.568,2216,1.3952668187391297,1.1325821278855885,0.02405940186024322
285,570.0,0.57,2215,1.4018912239627366,1.1369011124059565,0.02415660100645488
286,572.0,0.572,2214,1.4086262867584962,1.1420678620588776,0.024271862452892437
287,574.0,0.574,2213,1.4151087981700525,1.14651040701169,0.02437178253075088
288,576.0,0.576,2212,1.421741547537465,1.151316031452726,0.024479468869816327
289,578.0,0.578,2211,1.4283114544164972,1.1567120566612947,0.024599761189428946
290,580.0,0.58,2210,1.4346926331586412,1.161315288506192,0.024703245058768766
291,582.0,0.582,2209,1.4408608117546196,1.1662174396225204,0.024813137013245116
292,584.0,0.584,2208,1.4474459468840315,1.1717503091660801,0.024936502577405213
293,586.0,0.586,2207,1.4542512716002325,1.177034718272991,0.025054636518313023
294,588.0,0.588,2206,1.460858531497858,1.1815139294578518,0.025155681768750573
295,590.0,0.59,2205,1.4670512840320116,1.18533958885982,0.025242856162973427
296,592.0,0.592,2204,1.4734653866870966,1.1900975469833914,0.025349930029720885
297,594.0,0.594,2203,1.4798025042733172,1.1950196526369588,0.02546055104746838
298,596.0,0.596,2202,1.4856619660197188,1.19796296143047,0.025529054674786153
299,598.0,0.598,2201,1.4920103104823423,1.2012415137172325,0.02560473652688872
300,600.0,0.6,2200,1.4983351974578991,1.205466926418032,0.025700641225532034
301,602.0,0.602,2199,1.5048391018333331,1.210518405604951,0.02581420665565249
302,604.0,0.604,2198,1.5114315732509225,1.2158509944300344,0.025933821080239703
303,606.0,0.606,2197,1.5178925197983875,1.2206713985946305,0.02604256401257563
304,608.0,0.608,2196,1.5245852278113128,1.2254016287866227,0.026149433535754663
305,610.0,0.61,2195,1.5310320584094017,1.2303691939952015,0.02626141885086028
306,612.0,0.612,2194,1.5375971194833664,1.2354517701660006,0.026375911951437157
307,614.0,0.614,2193,1.5437305768791267,1.239564332470918,0.02646974487367016
308,616.0,0.616,2192,1.5497979696334214,1.2435684320606515,0.02656130532064608
309,618.0,0.618,2191,1.5556029298755154,1.2471199309548568,0.026643239652159666
310,620.0,0.62,2190,1.5614362271168427,1.2509219183277376,0.02673056538710875
311,622.0,0.622,2189,1.566673765472631,1.254089901694879,0.02680438146899905
312,624.0,0.624,2188,1.5716555281011861,1.257703207226252,0.026887752979160847
313,626.0,0.626,2187,1.5766846997678536,1.2604237284091122,0.02695207329222195
314,628.0,0.628,2186,1.5814221042881624,1.2626022880078789,0.027004832830351138
315,630.0,0.63,2185,1.586361350111824,1.2651274898345155,0.02706503368369903
316,632.0,0.632,2184,1.5913342300708184,1.2673759450256776,0.02711934168148363
317,634.0,0.634,2183,1.5964924714314055,1.270437223666991,0.02719107277242303
318,636.0,0.636,2182,1.6017848204219143,1.27424071405156,0.027278727298702045
319,638.0,0.638,2181,1.6070890689093293,1.278180066497548,0.027369332617015244
320,640.0,0.64,2180,1.6118408081537465,1.280792375146559,0.02743155877125653
321,642.0,0.642,2179,1.6169443760981925,1.2826643448144355,0.027477954962658643
322,644.0,0.644,2178,1.6218706489485408,1.2848186377331587,0.027530423373817538
323,646.0,0.646,2177,1.6270605806117087,1.2880421075418318,0.02760583235761145
324,648.0,0.648,2176,1.6319694576596908,1.2901194570546144,0.027656707693711008
325,650.0,0.65,2175,1.6365804379006577,1.2921630773137573,0.027706884644853158
326,652.0,0.652,2174,1.6411350216625626,1.2953122347599566,0.027780796792602005
327,654.0,0.654,2173,1.6456185188943364,1.2978827405984437,0.027842331114810253
328,656.0,0.656,2172,1.6501013398311337,1.3000822345497736,0.02789593441364318
329,658.0,0.658,2171,1.6544843992968201,1.3028243919231832,0.027961210515653583
330,660.0,0.66,2170,1.658752086700517,1.3051787483598847,0.028018193276090234
331,662.0,0.662,2169,1.6631615603632426,1.3077015340507054,0.028078820283776455
332,664.0,0.664,2168,1.6676816840823898,1.311031852820582,0.028156819999863088
333,666.0,0.666,2167,1.6721953297741816,1.313465664112064,0.02821559861113121
334,668.0,0.668,2166,1.6768095630815731,1.3164225498338387,0.02828564502619706
335,670.0,0.67,2165,1.6811956761944384,1.3185095850740476,0.028337030717761707
336,672.0,0.672,2164,1.685661160670522,1.320998999308624,0.02839709147337326
337,674.0,0.674,2163,1.6896956325034322,1.3231360346394945,0.028449604779241112
338,676.0,0.676,2162,1.6939801451500214,1.325444450430613,0.02850582970365953
339,678.0,0.678,2161,1.6981056651778008,1.3280652484644286,0.028568802005396497
340,680.0,0.68,2160,1.7019467586141102,1.3300073726051307,0.028617202246848633
341,682.0,0.682,2159,1.7060487870435899,1.3325422663596473,0.02867838375955258
342,684.0,0.684,2158,1.7102134407888163,1.33489833706584,0.028735745713249647
343,686.0,0.686,2157,1.7146233588022846,1.3376487012233498,0.02880162553914344
344,688.0,0.688,2156,1.7185502067949703,1.339124732803693,0.028840092767498566
345,690.0,0.69,2155,1.7223710003051926,1.3406354940447818,0.028879327523106662
346,692.0,0.692,2154,1.7259473860517087,1.3416445636310705,0.0289077723347198
347,694.0,0.694,2153,1.7302325106320873,1.343018809813835,0.028944102025123635
