lz_nm,total_potential_kJ_mol,nonbonded_total_kJ_mol,nonbonded_direct_kJ_mol,pme_reciprocal_kJ_mol,energy_split_error_kJ_mol,dipole_z_e_nm,pme_alpha_per_nm,pme_nx,pme_ny,pme_nz,ligand_total_Fz_kJ_mol_nm,ligand_nonbonded_Fz_kJ_mol_nm,ligand_reciprocal_Fz_kJ_mol_nm,pyrene_reciprocal_Fz_kJ_mol_nm,graphene_all_reciprocal_Fz_kJ_mol_nm,graphene_carbon_reciprocal_Fz_kJ_mol_nm,water_reciprocal_Fz_kJ_mol_nm,delta_total_PE_vs_30nm_kJ_mol,delta_direct_vs_30nm_kJ_mol,delta_reciprocal_vs_30nm_kJ_mol,delta_ligand_recip_Fz_vs_30nm_kJ_mol_nm,delta_pyrene_recip_Fz_vs_30nm_kJ_mol_nm,rms_particle_recip_force_delta_vs_30nm_kJ_mol_nm,max_particle_recip_force_delta_vs_30nm_kJ_mol_nm
12.0,-308372.48440021975,-322862.0696950471,3170295.4856222603,-3493157.555352043,3.47355380654335e-05,0.3660207825362285,2.62826088,50,45,96,-421.9086175914854,-421.9086550883949,6.576559066772461,-212.00951290130615,184.39809533534572,12339.502557414118,-49979.47543124296,-0.17676192475482821,0.007408655248582363,-0.18398017715662718,0.0020322799682617188,-1.2271490097045898,0.8149922231384058,1.3643377464802575
16.0,-308372.4100459167,-322861.99531114893,3170295.4787199902,-3493157.4740499617,1.882249489426613e-05,0.3660207825362285,2.62826088,50,45,128,-421.9104518487584,-421.91049649822526,6.574483394622803,-211.50602436065674,184.40005373768508,12237.922266956419,-46612.98424104741,-0.1024076216854155,0.0005063852295279503,-0.10267809592187405,-4.3392181396484375e-05,-0.7236604690551758,0.475420874956601,0.779683259301539
20.0,-308372.3657518923,-322861.95116595225,3170295.479124046,-3493157.4303131592,2.3161061108112335e-05,0.3660207825362285,2.62826088,50,45,160,-421.91087773488835,-421.91097435960546,6.57450532913208,-211.19556713104248,184.39901103964075,12176.944486317225,-44591.176488531055,-0.058113597333431244,0.0009104409255087376,-0.05894129350781441,-2.1457672119140625e-05,-0.41320323944091797,0.2715157752036448,0.4489567024083623
24.0,-308372.33438901696,-322861.91970971506,3170295.4807665064,-3493157.400419838,-5.638366565108299e-05,0.3660207825362285,2.62826088,50,45,192,-421.9114789124578,-421.9115350060165,6.5742809772491455,-210.98883986473083,184.39906236133538,12136.304746951442,-43244.07266238239,-0.026750721968710423,0.0025529013946652412,-0.029047972057014704,-0.00024580955505371094,-0.20647597312927246,0.1356593726115502,0.22856618638198117
30.0,-308372.307638295,-322861.8930988498,3170295.478213605,-3493157.3713718657,5.9410929679870605e-05,0.3660207825362285,2.62826088,50,45,240,-421.91061903652735,-421.9107063629199,6.574526786804199,-210.78236389160156,184.39951824885793,12095.656828396022,-41899.0922166456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
