stage,stage_elapsed_ps,context_time_ps,target_height_nm,actual_height_mean_nm,actual_gap_max_nm,restraint_energy_kJ_per_mol,temperature_K
pull,1.000,1.000,2.052236,2.102891,2.067126,0.641473,300.407
pull,10.000,10.000,2.051294,1.982128,1.941213,1.195982,300.296
pull,20.000,20.000,2.050247,2.002900,1.963007,0.560453,299.896
pull,30.000,30.000,2.049201,2.132698,2.092956,1.742969,300.351
pull,40.000,40.000,2.048154,2.056456,2.010558,0.017233,300.499
pull,50.000,50.000,2.047107,1.897364,1.844470,5.605721,300.788
pull,60.000,60.000,2.046060,2.031802,1.994234,0.050825,299.540
pull,70.000,70.000,2.045013,2.028875,1.987937,0.065111,300.342
pull,80.000,80.000,2.043967,2.014368,1.972867,0.219010,299.750
pull,90.000,90.000,2.042920,2.017907,1.981177,0.156406,301.530
pull,100.000,100.000,2.041873,2.060473,2.019665,0.086488,302.422
pull,110.000,110.000,2.040826,2.100309,2.051259,0.884551,299.378
pull,120.000,120.000,2.039779,2.025030,1.982640,0.054387,300.154
pull,130.000,130.000,2.038732,2.003577,1.966610,0.308974,299.946
pull,140.000,140.000,2.037686,2.152301,2.111560,3.284148,298.827
pull,150.000,150.000,2.036639,2.038154,2.000682,0.000574,301.659
pull,160.000,160.000,2.035592,1.940931,1.893164,2.240154,300.652
pull,170.000,170.000,2.034545,2.066560,2.016360,0.256234,300.970
pull,180.000,180.000,2.033498,2.065822,2.019550,0.261204,300.264
pull,190.000,190.000,2.032451,1.991869,1.949443,0.411740,300.904
pull,200.000,200.000,2.031405,1.899832,1.857270,4.327845,300.986
pull,210.000,210.000,2.030358,2.086483,2.033135,0.787502,299.155
pull,220.000,220.000,2.029311,2.024809,1.984615,0.005067,298.928
pull,230.000,230.000,2.028264,2.053936,1.999397,0.164759,298.738
pull,240.000,240.000,2.027217,2.019690,1.974103,0.014163,300.032
pull,250.000,250.000,2.026171,1.966421,1.925694,0.892497,299.662
pull,260.000,260.000,2.025124,1.915554,1.882149,3.001398,300.762
pull,270.000,270.000,2.024077,1.943809,1.906019,1.610715,299.260
pull,280.000,280.000,2.023030,2.164024,2.122103,4.969799,300.452
pull,290.000,290.000,2.021983,2.015481,1.967780,0.010570,299.858
pull,300.000,300.000,2.020936,2.105998,2.062639,1.808887,299.133
pull,310.000,310.000,2.019890,2.088009,2.041866,1.160043,299.315
pull,320.000,320.000,2.018843,2.079421,2.032021,0.917448,300.896
pull,330.000,330.000,2.017796,2.014058,1.974025,0.003493,298.744
pull,340.000,340.000,2.016749,2.000938,1.959368,0.062499,299.549
pull,350.000,350.000,2.015702,1.945292,1.898124,1.239418,300.540
pull,360.000,360.000,2.014656,1.959814,1.912558,0.751911,299.343
pull,370.000,370.000,2.013609,1.995857,1.948562,0.078783,300.263
pull,380.000,380.000,2.012562,1.886087,1.846176,3.998972,299.929
pull,390.000,390.000,2.011515,1.989003,1.948337,0.126697,298.526
pull,400.000,400.000,2.010468,1.964783,1.927043,0.521789,300.599
pull,410.000,410.000,2.009421,2.046081,2.003446,0.335988,300.365
pull,420.000,420.000,2.008375,2.100266,2.052352,2.110991,300.605
pull,430.000,430.000,2.007328,2.048420,2.004592,0.422136,299.879
pull,440.000,440.000,2.006281,2.046534,2.008110,0.405079,299.188
pull,450.000,450.000,2.005234,1.985607,1.942317,0.096302,300.940
pull,460.000,460.000,2.004187,2.034123,1.996261,0.224035,300.140
pull,470.000,470.000,2.003140,2.007562,1.968675,0.004887,300.813
pull,480.000,480.000,2.002094,2.009365,1.953604,0.013217,299.015
pull,490.000,490.000,2.001047,2.043627,2.005546,0.453262,300.126
pull,500.000,500.000,2.000000,2.049286,2.011411,0.607275,300.038
settle,10.000,510.000,2.000000,2.118858,2.071276,3.531798,299.963
settle,20.000,520.000,2.000000,2.009772,1.968609,0.023874,300.162
settle,30.000,530.000,2.000000,1.970026,1.932675,0.224614,299.675
settle,40.000,540.000,2.000000,2.096708,2.029657,2.338124,301.676
settle,50.000,550.000,2.000000,1.957739,1.913050,0.446501,299.845
settle,60.000,560.000,2.000000,2.018524,1.974044,0.085782,300.304
settle,70.000,570.000,2.000000,2.110849,2.074970,3.071896,301.464
settle,80.000,580.000,2.000000,2.041065,2.009096,0.421583,300.019
settle,90.000,590.000,2.000000,2.048713,2.014267,0.593238,300.077
settle,100.000,600.000,2.000000,2.056503,2.021144,0.798129,300.822
settle,110.000,610.000,2.000000,1.966423,1.921016,0.281847,299.632
settle,120.000,620.000,2.000000,2.023239,1.982527,0.135012,299.494
settle,130.000,630.000,2.000000,2.042100,2.001318,0.443107,299.855
settle,140.000,640.000,2.000000,2.015269,1.975514,0.058284,300.012
settle,150.000,650.000,2.000000,2.163612,2.106551,6.692271,301.531
settle,160.000,660.000,2.000000,2.024200,1.981112,0.146410,299.468
settle,170.000,670.000,2.000000,2.070834,2.033399,1.254369,300.429
settle,180.000,680.000,2.000000,1.989538,1.949795,0.027365,300.016
settle,190.000,690.000,2.000000,1.980097,1.934333,0.099029,300.377
settle,200.000,700.000,2.000000,2.053803,2.016414,0.723696,302.037
settle,210.000,710.000,2.000000,2.003109,1.962178,0.002417,301.746
settle,220.000,720.000,2.000000,2.059888,2.010314,0.896640,299.880
settle,230.000,730.000,2.000000,2.001277,1.963332,0.000407,299.050
settle,240.000,740.000,2.000000,2.024228,1.986895,0.146756,299.584
settle,250.000,750.000,2.000000,1.986869,1.942980,0.043106,298.868
settle,260.000,760.000,2.000000,2.090377,2.047145,2.041983,299.160
settle,270.000,770.000,2.000000,2.031031,1.988528,0.240736,299.929
settle,280.000,780.000,2.000000,2.086876,2.040859,1.886856,300.143
settle,290.000,790.000,2.000000,1.930313,1.894500,1.214086,299.797
settle,300.000,800.000,2.000000,1.928226,1.887467,1.287890,299.431
settle,310.000,810.000,2.000000,1.944336,1.906322,0.774622,300.192
settle,320.000,820.000,2.000000,1.922616,1.875821,1.497089,300.355
settle,330.000,830.000,2.000000,2.016149,1.974715,0.065198,300.419
settle,340.000,840.000,2.000000,2.012193,1.974241,0.037171,299.793
settle,350.000,850.000,2.000000,1.904473,1.859944,2.281332,299.561
settle,360.000,860.000,2.000000,2.088147,2.031807,1.942470,298.935
settle,370.000,870.000,2.000000,1.936952,1.899341,0.993755,299.031
settle,380.000,880.000,2.000000,2.095458,2.054299,2.278036,300.539
settle,390.000,890.000,2.000000,2.008115,1.972113,0.016463,300.242
settle,400.000,900.000,2.000000,2.127616,2.083435,4.071486,300.277
settle,410.000,910.000,2.000000,1.954295,1.919367,0.522233,299.607
settle,420.000,920.000,2.000000,1.836333,1.799025,6.696699,300.225
settle,430.000,930.000,2.000000,2.011739,1.975041,0.034453,300.293
settle,440.000,940.000,2.000000,1.982517,1.940977,0.076415,301.589
settle,450.000,950.000,2.000000,1.922725,1.883071,1.492867,301.496
settle,460.000,960.000,2.000000,1.942127,1.895530,0.837335,300.317
settle,470.000,970.000,2.000000,1.991845,1.951387,0.016624,301.098
settle,480.000,980.000,2.000000,1.986355,1.935898,0.046549,300.054
settle,490.000,990.000,2.000000,1.887645,1.850357,3.155911,300.509
settle,500.000,1000.000,2.000000,1.968894,1.921515,0.241901,299.706
production,1.000,1001.000,2.000000,2.001612,1.962774,0.000650,300.434
production,100.000,1100.000,2.000000,1.950869,1.912080,0.603462,298.777
production,200.000,1200.000,2.000000,2.066463,2.017632,1.104340,299.620
production,300.000,1300.000,2.000000,2.004688,1.967272,0.005495,299.467
production,400.000,1400.000,2.000000,1.984601,1.941848,0.059282,300.627
production,500.000,1500.000,2.000000,1.875784,1.839177,3.857379,299.422
production,600.000,1600.000,2.000000,1.973342,1.927216,0.177658,300.082
production,700.000,1700.000,2.000000,2.054998,2.005550,0.756193,300.369
production,800.000,1800.000,2.000000,2.109198,2.056442,2.981082,299.758
production,900.000,1900.000,2.000000,1.995086,1.952684,0.006038,299.997
production,1000.000,2000.000,2.000000,1.998358,1.955482,0.000674,302.039
