global_index,local_ligand_index,pyrene_aromatic,charge_e,sigma_nm,epsilon_kJ_mol,mass_amu
3750,0,0,-0.5961285732316995,0.3048120873800651,0.6121192008473053,16.0
3751,1,0,0.6706714300609692,0.33152123100281,0.41337919999772776,12.01
3752,2,1,-0.13062857158536517,0.33152123100281,0.41337919999772776,12.01
3753,3,1,0.01397142857926826,0.33152123100281,0.41337919999772776,12.01
3754,4,1,-0.02502857142073174,0.33152123100281,0.41337919999772776,12.01
3755,5,1,-0.014028571420731741,0.33152123100281,0.41337919999772776,12.01
3756,6,1,-0.11802857158536519,0.33152123100281,0.41337919999772776,12.01
3757,7,1,-0.10802857158536518,0.33152123100281,0.41337919999772776,12.01
3758,8,1,-0.03602857142073174,0.33152123100281,0.41337919999772776,12.01
3759,9,1,-0.10802857158536518,0.33152123100281,0.41337919999772776,12.01
3760,10,1,-0.12802857158536518,0.33152123100281,0.41337919999772776,12.01
3761,11,1,-0.11002857158536516,0.33152123100281,0.41337919999772776,12.01
3762,12,1,-0.03802857142073174,0.33152123100281,0.41337919999772776,12.01
3763,13,1,-0.10302857158536517,0.33152123100281,0.41337919999772776,12.01
3764,14,1,-0.12402857158536518,0.33152123100281,0.41337919999772776,12.01
3765,15,1,-0.014028571420731741,0.33152123100281,0.41337919999772776,12.01
3766,16,1,-0.12602857158536518,0.33152123100281,0.41337919999772776,12.01
3767,17,1,-0.10302857158536517,0.33152123100281,0.41337919999772776,12.01
3768,18,0,-0.566928571036587,0.3269954655337278,0.4912015996175275,14.01
3769,19,0,0.04497142857926825,0.33977095312572575,0.4510352003144314,12.01
3770,20,0,0.10537142841463482,0.33977095312572575,0.4510352003144314,12.01
3771,21,0,-0.41162857158536514,0.31560978003356793,0.3037583988372062,16.0
3772,22,0,0.0933714284146348,0.33977095312572575,0.4510352003144314,12.01
3773,23,0,0.0953714284146348,0.33977095312572575,0.4510352003144314,12.01
3774,24,0,-0.42862857158536516,0.31560978003356793,0.3037583988372062,16.0
3775,25,0,0.08437142841463481,0.33977095312572575,0.4510352003144314,12.01
3776,26,0,0.12837142841463484,0.33977095312572575,0.4510352003144314,12.01
3777,27,0,-0.41662857158536515,0.31560978003356793,0.3037583988372062,16.0
3778,28,0,0.0933714284146348,0.33977095312572575,0.4510352003144314,12.01
3779,29,0,0.0953714284146348,0.33977095312572575,0.4510352003144314,12.01
3780,30,0,-0.42862857158536516,0.31560978003356793,0.3037583988372062,16.0
3781,31,0,0.09237142841463482,0.33977095312572575,0.4510352003144314,12.01
3782,32,0,0.1253714284146348,0.33977095312572575,0.4510352003144314,12.01
3783,33,0,-0.4066285715853652,0.31560978003356793,0.3037583988372062,16.0
3784,34,0,0.2084714284146348,0.33977095312572575,0.4510352003144314,12.01
3785,35,0,-0.1471285715853652,0.34789594939327306,0.6677664021904942,12.01
3786,36,0,-0.12252857158536518,0.34789594939327306,0.6677664021904942,12.01
3787,37,0,0.1589714284146348,0.26254785220391275,0.06736240007496809,1.008
3788,38,0,0.1369714284146348,0.26254785220391275,0.06736240007496809,1.008
3789,39,0,0.1359714284146348,0.26254785220391275,0.06736240007496809,1.008
3790,40,0,0.13497142841463483,0.26254785220391275,0.06736240007496809,1.008
3791,41,0,0.13497142841463483,0.26254785220391275,0.06736240007496809,1.008
3792,42,0,0.13497142841463483,0.26254785220391275,0.06736240007496809,1.008
3793,43,0,0.13497142841463483,0.26254785220391275,0.06736240007496809,1.008
3794,44,0,0.1379714284146348,0.26254785220391275,0.06736240007496809,1.008
3795,45,0,0.1409714284146348,0.26254785220391275,0.06736240007496809,1.008
3796,46,0,0.31047142841463476,0.1106496207546381,0.0418400000713784,1.008
3797,47,0,0.07917142841463481,0.24219972552023342,0.08702720008258066,1.008
3798,48,0,0.07917142841463481,0.24219972552023342,0.08702720008258066,1.008
3799,49,0,0.05017142857926826,0.24219972552023342,0.08702720008258066,1.008
3800,50,0,0.05017142857926826,0.24219972552023342,0.08702720008258066,1.008
3801,51,0,0.05417142857926826,0.24219972552023342,0.08702720008258066,1.008
3802,52,0,0.05417142857926826,0.24219972552023342,0.08702720008258066,1.008
3803,53,0,0.06417142841463482,0.24219972552023342,0.08702720008258066,1.008
3804,54,0,0.06417142841463482,0.24219972552023342,0.08702720008258066,1.008
3805,55,0,0.04417142857926826,0.24219972552023342,0.08702720008258066,1.008
3806,56,0,0.04417142857926826,0.24219972552023342,0.08702720008258066,1.008
3807,57,0,0.05967142841463481,0.24219972552023342,0.08702720008258066,1.008
3808,58,0,0.05967142841463481,0.24219972552023342,0.08702720008258066,1.008
3809,59,0,0.05817142841463481,0.24219972552023342,0.08702720008258066,1.008
3810,60,0,0.05817142841463481,0.24219972552023342,0.08702720008258066,1.008
3811,61,0,0.06067142841463482,0.24219972552023342,0.08702720008258066,1.008
3812,62,0,0.06067142841463482,0.24219972552023342,0.08702720008258066,1.008
3813,63,0,0.03617142857926826,0.24219972552023342,0.08702720008258066,1.008
3814,64,0,0.03617142857926826,0.24219972552023342,0.08702720008258066,1.008
3815,65,0,0.06267142841463481,0.24219972552023342,0.08702720008258066,1.008
3816,66,0,0.06267142841463481,0.24219972552023342,0.08702720008258066,1.008
3817,67,0,0.04667142857926826,0.24219972552023342,0.08702720008258066,1.008
3818,68,0,0.04667142857926826,0.24219972552023342,0.08702720008258066,1.008
3819,69,0,0.16647142841463483,0.26254785220391275,0.06736240007496809,1.008
