stage,stage_elapsed_ps,context_time_ps,target_height_nm,actual_height_mean_nm,actual_gap_max_nm,restraint_energy_kJ_per_mol,temperature_K
pull,1.000,1.000,2.050236,2.115428,2.080286,1.062499,298.764
pull,10.000,10.000,2.031294,2.232298,2.188478,10.100607,300.455
pull,20.000,20.000,2.010247,2.108384,2.064910,2.407725,301.761
pull,30.000,30.000,1.989201,2.001561,1.964467,0.038196,299.813
pull,40.000,40.000,1.968154,2.006480,1.962581,0.367219,300.119
pull,50.000,50.000,1.947107,1.964813,1.917251,0.078379,301.247
pull,60.000,60.000,1.926060,1.796646,1.757620,4.187039,299.150
pull,70.000,70.000,1.905013,1.825552,1.781223,1.578545,298.986
pull,80.000,80.000,1.883967,1.921738,1.881650,0.356678,298.493
pull,90.000,90.000,1.862920,1.815840,1.774054,0.554121,298.099
pull,100.000,100.000,1.841873,1.899901,1.863159,0.841825,301.039
pull,110.000,110.000,1.820826,1.767680,1.718892,0.706128,299.114
pull,120.000,120.000,1.799779,1.838080,1.791076,0.366744,300.988
pull,130.000,130.000,1.778732,1.812027,1.773220,0.277130,300.862
pull,140.000,140.000,1.757686,1.712208,1.668743,0.517046,299.691
pull,150.000,150.000,1.736639,1.736756,1.694670,0.000003,301.408
pull,160.000,160.000,1.715592,1.698956,1.645566,0.069193,298.802
pull,170.000,170.000,1.694545,1.817060,1.778443,3.752450,299.819
pull,180.000,180.000,1.673498,1.809663,1.767415,4.635204,299.510
pull,190.000,190.000,1.652451,1.766162,1.728534,3.232541,301.778
pull,200.000,200.000,1.631405,1.761895,1.712021,4.256898,299.020
pull,210.000,210.000,1.610358,1.693052,1.651236,1.709577,300.593
pull,220.000,220.000,1.589311,1.652900,1.614602,1.010897,300.409
pull,230.000,230.000,1.568264,1.627129,1.582967,0.866274,298.745
pull,240.000,240.000,1.547217,1.588160,1.528751,0.419085,299.345
pull,250.000,250.000,1.526171,1.499912,1.459200,0.172375,298.920
pull,260.000,260.000,1.505124,1.536948,1.490209,0.253199,300.458
pull,270.000,270.000,1.484077,1.478676,1.439117,0.007293,297.776
pull,280.000,280.000,1.463030,1.544105,1.500682,1.643263,299.667
pull,290.000,290.000,1.441983,1.482309,1.439081,0.406539,301.166
pull,300.000,300.000,1.420936,1.455242,1.413921,0.294226,300.556
pull,310.000,310.000,1.399890,1.418703,1.377480,0.088487,298.524
pull,320.000,320.000,1.378843,1.324845,1.291240,0.728952,301.554
pull,330.000,330.000,1.357796,1.300700,1.261803,0.814992,300.627
pull,340.000,340.000,1.336749,1.352908,1.310306,0.065276,301.705
pull,350.000,350.000,1.315702,1.359515,1.319463,0.479887,300.039
pull,360.000,360.000,1.294656,1.398950,1.363064,2.719313,299.790
pull,370.000,370.000,1.273609,1.421942,1.380026,5.500658,299.798
pull,380.000,380.000,1.252562,1.334477,1.293633,1.677508,300.200
