time_ps,temperature_K,potential_kJ_per_mol,kinetic_kJ_per_mol,total_kJ_per_mol,graphene_z_min_nm,graphene_z_max_nm,graphene_z_mean_nm,pyrene_height_above_graphene_nm,ligand_z_min_nm,ligand_z_max_nm,water_z_min_nm,water_z_max_nm,water_below_graphene,water_above_upper_wall,water_below_lower_wall,upper_wall_violation_nm,lower_wall_violation_nm
110.0,298.11826353566073,-307666.5874177357,59570.432665156724,-248096.154752579,0.4608184953207406,0.5372922519121497,0.4998989349929564,0.3106996964057877,0.7331766955572778,1.7941888561603843,0.7622110256530177,6.739309246906423,0,0,0,0.0,0.0
111.00000000000477,300.99938905341156,-308094.0575815118,60146.14343047357,-247947.91415103822,0.45676787715552614,0.5478796038134135,0.498429837921171,0.3332485843530849,0.7551023989822709,1.905637076180824,0.7565132860878965,6.7489808887245175,0,0,0,0.0,0.0
112.00000000000955,299.5787562852124,-307226.2653067135,59862.270488050504,-247363.99481866302,0.46299461750080795,0.5401665295486602,0.5016483909429131,0.3306130773591801,0.7241977490556826,1.8634606508336926,0.7729668742846485,6.7982235027277635,0,0,0,0.0,0.0
113.00000000001432,297.52745282366345,-307590.66721962113,59452.375994225265,-248138.29122539586,0.450625785247075,0.5557459231310613,0.5003893338901501,0.323683124719246,0.7414992855393514,1.9273368720431243,0.7670708928761716,6.6889530119249585,0,0,0,0.0,0.0
114.0000000000191,298.96774350317594,-308752.7079372108,59740.17700958268,-249012.5309276281,0.45718027049777454,0.5416372436315939,0.4996561600029915,0.3329120024398122,0.745822845632101,1.8606919599008087,0.7615042789639279,6.578635470738448,0,0,0,0.0,0.0
115.00000000002387,301.99242438586015,-308316.3086468028,60344.5732203971,-247971.73542640568,0.4634735768886795,0.5439946178025821,0.5021982771248178,0.3260979872312232,0.7248111795454957,1.8720645908886906,0.7762436943284294,6.6265248375058405,0,0,0,0.0,0.0
116.00000000002865,297.7152438658468,-307758.5041076564,59489.90067822425,-248268.60342943217,0.4621030531197228,0.5337430130148126,0.5007483247717882,0.3369005566940316,0.7259801374057027,1.9013197928037826,0.7749273668437544,6.711976570205493,0,0,0,0.0,0.0
117.00000000003342,302.59374806659906,-307769.5792786032,60464.73060830278,-247304.84867030042,0.45472128146696367,0.5374393592662408,0.5007978260788135,0.3171978766195934,0.7647624958360311,1.8839612967470103,0.7658782825485062,6.708735128349616,0,0,0,0.0,0.0
118.0000000000382,298.6452708582034,-308123.93539290596,59675.74004837183,-248448.19534453412,0.43881356549880146,0.5437194912358869,0.49967911448593405,0.33623260942025723,0.7457583636373055,1.877083176314768,0.7611023465351057,6.633514255105041,0,0,0,0.0,0.0
119.00000000004297,298.65796004825165,-309265.93976407265,59678.27562110857,-249587.6641429641,0.4528094702584555,0.5412796155848796,0.5002220895713068,0.34940709983402574,0.7554003949603398,1.8458754213792332,0.7755312493730759,6.682521007502004,0,0,0,0.0,0.0
120.00000000004775,302.90247308191294,-308954.9816040485,60526.42049780733,-248428.5611062412,0.4560149783524423,0.537165249762495,0.5014554588936969,0.32877247340640625,0.7751258879918872,1.777187466198275,0.7683653210503396,6.651907238486714,0,0,0,0.0,0.0
121.00000000005252,303.8809995842353,-307704.42377717746,60721.9511118205,-246982.47266535697,0.45998792677623346,0.5390500841565089,0.4975382134226609,0.3473357545790664,0.7436438462833621,1.7144854893595785,0.7636929077245869,6.643362800285445,0,0,0,0.0,0.0
