distance_A,delta_LJ_kJmol,delta_Coulomb_kJmol,delta_total_kJmol
2.5,596.651471456638,-0.33945920976308797,596.3120122468749
2.55,436.5800826749865,-0.29956547459516036,436.28051720039133
2.5999999999999996,311.4442626384967,-0.2650132830381877,311.1792493554585
2.6499999999999995,213.63482077741045,-0.23507065286864792,213.3997501245418
2.6999999999999993,137.26214558616283,-0.20893208209414516,137.05321350406868
2.749999999999999,77.74979674360219,-0.18634041257988931,77.5634563310223
2.799999999999999,31.527949804799082,-0.16670739185293781,31.361242412946144
2.8499999999999988,-4.1973427183558325,-0.14973936785852748,-4.34708208621436
2.8999999999999986,-31.62122564265864,-0.13499847490651495,-31.756224117565154
2.9499999999999984,-52.471963612652964,-0.12219827343514522,-52.59416188608811
2.9999999999999982,-68.11613471467119,-0.11116861376844467,-68.22730332843963
3.049999999999998,-79.63519982772041,-0.10158163574314605,-79.73678146346356
3.099999999999998,-87.88857761839196,-0.09318335782069687,-87.98176097621266
3.1499999999999977,-93.55935702024628,-0.0859479199477895,-93.64530494019407
3.1999999999999975,-97.19252060388634,-0.07977884039165906,-97.27229944427799
3.2499999999999973,-99.22272967159515,-0.07436579705034374,-99.2970954686455
3.299999999999997,-99.99760753570847,-0.06960089214306953,-100.06720842785154
3.349999999999997,-99.79513694206389,-0.06553352501344056,-99.86067046707733
3.399999999999997,-98.83783465879588,-0.06196187581784107,-98.89979653461373
3.4499999999999966,-97.30385093229829,-0.05898616528876088,-97.36283709758705
3.4999999999999964,-95.3357015473291,-0.05620028248487108,-95.39190182981396
3.5499999999999963,-93.04740477740782,-0.05391081871120518,-93.10131559611902
3.599999999999996,-90.52995355005586,-0.05188973038004141,-90.5818432804359
3.649999999999996,-87.85588979170493,-0.05004703784372877,-87.90593682954865
3.6999999999999957,-85.0828073138454,-0.04854454139667075,-85.13135185524206
3.7499999999999956,-82.25633464343848,-0.04717775169263794,-82.30351239513112
3.7999999999999954,-79.41234990348131,-0.04599149636898714,-79.4583413998503
3.849999999999995,-76.57891111513854,-0.04496322025289201,-76.62387433539143
3.899999999999995,-73.77778249020376,-0.0440505215213185,-73.82183301172508
3.949999999999995,-71.0255853045701,-0.04320987038602331,-71.06879517495612
3.9999999999999947,-68.33486598348232,-0.04243554641927494,-68.37730152990159
4.0499999999999945,-65.71483160698635,-0.04191398586438444,-65.75674559285073
4.099999999999994,-63.17207982576627,-0.04127905702109613,-63.21335888278736
4.149999999999994,-60.711002995609995,-0.04075149316987803,-60.75175448877987
4.199999999999994,-58.33440984996879,-0.04027715456840886,-58.3746870045372
4.249999999999994,-56.04362219232234,-0.03994080923043297,-56.08356300155277
4.299999999999994,-53.839042189766225,-0.039551269948999046,-53.878593459715226
4.349999999999993,-51.72008469350339,-0.039153423361999895,-51.75923811686539
4.399999999999993,-49.685683268931825,-0.038811639863954195,-49.724494908795776
4.449999999999993,-47.73409963814751,-0.03850345839749236,-47.772603096545005
4.499999999999993,-45.863392452659696,-0.03816820756569994,-45.90156066022539
4.549999999999993,-44.07120187857278,-0.037924457565338354,-44.10912633613812
4.5999999999999925,-42.355100960840936,-0.037779245573263065,-42.3928802064142
4.649999999999992,-40.71242123127748,-0.037577613904786755,-40.74999884518227
4.699999999999992,-39.14052072033141,-0.03722601759797106,-39.17774673792938
4.749999999999992,-37.636639719249054,-0.03702740696268014,-37.67366712621173
4.799999999999992,-36.19807080935868,-0.03680924127278251,-36.23488005063147
4.849999999999992,-34.822096210022075,-0.03664043753348478,-34.85873664755556
4.8999999999999915,-33.50605937185201,-0.03639360690084237,-33.542452978752856
4.949999999999991,-32.24734512151632,-0.036171548758486605,-32.28351667027481
4.999999999999991,-31.043428390609805,-0.03597330671211152,-31.079401697321916
5.049999999999991,-29.89184444367197,-0.03586880966086836,-29.92771325333284
5.099999999999991,-28.790210252695385,-0.03572381092009236,-28.825934063615477
5.149999999999991,-27.736245488964787,-0.03556080048194188,-27.77180628944673
5.19999999999999,-26.727740469497967,-0.03537012129940953,-26.763110590797375
5.24999999999999,-25.76258757679164,-0.035092122741990917,-25.797679699533628
