time_ps,temperature_K,potential_kJ_per_mol,kinetic_kJ_per_mol,total_kJ_per_mol,graphene_z_min_nm,graphene_z_max_nm,graphene_z_mean_nm,ligand_z_min_nm,ligand_z_max_nm,pyrene_z_mean_nm,pyrene_height_above_graphene_nm,water_z_min_nm,water_z_max_nm,water_below_graphene
120.0,300.265408910951,-307894.0336368806,59999.478432041564,-247894.555204839,0.4576827751996122,0.5413503023361923,0.49903679411965624,0.7463576300199017,1.6113747463658745,0.8184167473106329,0.3193799531909766,0.7758354356858899,6.697794041708278,0
121.00000000000477,300.55309410902663,-307201.13668166706,60056.964114124494,-247144.17256754258,0.4506692745989591,0.5378515506030848,0.49969806301606023,0.7410497380509256,1.6383073398144008,0.8161196489832108,0.31642158596715053,0.7734261011878747,6.7855138354651245,0
122.00000000000955,303.80179139612034,-307433.42861879664,60706.12361443516,-246727.3050043615,0.45769502967733455,0.5492670139183566,0.500976186312282,0.723879699675134,1.5982370214426176,0.823536900164126,0.3225607138518439,0.7629261062777002,6.657092247083909,0
123.00000000001432,302.04107328411095,-307140.237964923,60354.29431525091,-246785.94364967212,0.4464687854750107,0.5434275998870808,0.5002859852830226,0.7529265196169783,1.6462502440771742,0.845344843461568,0.3450588581785454,0.7617542328192108,6.738409390786998,0
124.0000000000191,298.03490793850716,-306766.48392632185,59553.77642635871,-247212.70749996314,0.4583002862197114,0.5491519485741954,0.503101237681047,0.7160913053267812,1.7714641393584714,0.8450358336540376,0.3419345959729906,0.7744458254710516,6.741627154907498,0
125.00000000002387,299.543123272613,-307997.276210546,59855.15024673239,-248142.12596381363,0.4532564933755694,0.5457944158718755,0.4995700435916815,0.7250248253873437,1.6403350511395303,0.8143619022491493,0.3147918586574678,0.7689639268130817,6.680313920045705,0
126.00000000002865,304.25869770898123,-308677.73684184346,60797.423310139,-247880.31353170448,0.4602456542876192,0.5377360228808623,0.49883031361252006,0.7527285674809612,1.6629541170393516,0.8096777668596331,0.31084745324711305,0.7669997953988572,6.74992807542268,0
127.00000000003342,299.7319208482755,-308629.60596756777,59892.87605774095,-248736.72990982683,0.4570785604843772,0.5452395827906837,0.5013883879576913,0.7467343716898931,1.6506090287015098,0.8283908196482836,0.3270024316905924,0.7694487515327433,6.6522305280543605,0
128.0000000000382,301.23489480761947,-308991.23965479573,60193.20253885194,-248798.0371159438,0.4610964289805479,0.5380915076211554,0.49849487592054176,0.7606255630744343,1.6009080057480318,0.8380283835866449,0.33953350766610313,0.7706379393755576,6.807391910308368,0
129.00000000004297,299.2597711754632,-309219.9381930218,59798.53041128988,-249421.40778173192,0.45347262926696175,0.5474994879709456,0.5012583913686963,0.75167614616488,1.639168020709914,0.8399495520483876,0.3386911606796913,0.764867317434339,6.7383199439893104,0
130.00000000004775,297.2975316819126,-308778.02163069416,59406.432811373845,-249371.5888193203,0.4561958641470385,0.5424097672073467,0.49961738905484526,0.7415257824248318,1.5994498972970685,0.8425742068437126,0.3429568177888674,0.7676924979197643,6.726342213064639,0
131.00000000005252,301.3740380357357,-309042.7775513651,60221.00634464031,-248821.77120672478,0.4592462062503406,0.5356406563761593,0.4998616007215623,0.7465721749791356,1.6329469085173258,0.8357035211339715,0.3358419204124092,0.7375400561688021,6.6918199783179375,0
132.0000000000573,302.63904864628256,-308602.28106457926,60473.78263718462,-248128.49842739466,0.4607690454270106,0.5380258385289469,0.5001834473741221,0.735129051532752,1.580312513208252,0.8223037258355335,0.32212027846141134,0.7758570094540627,6.703209413685591,0
133.00000000006207,300.9273573473205,-308905.34486658825,60131.749948348166,-248773.5949182401,0.4591955604278759,0.5406827916124156,0.5013359835187239,0.7561898664363085,1.701462372449841,0.8166223059313589,0.315286322412635,0.7737744403094267,6.655790726483275,0
134.00000000006685,297.22746546036234,-309020.2669744906,59392.43207527853,-249627.83489921206,0.46790696040529767,0.5351261569411792,0.5013930980585161,0.7488466401531602,1.6327771589404207,0.8184582027862226,0.31706510472770655,0.7638499138023694,6.686677535047224,0
135.00000000007162,300.88681373849806,-309058.00214108126,60123.648464424594,-248934.35367665667,0.4650959485626345,0.5485131248686459,0.49848582321546236,0.7471074125024586,1.720665469897252,0.8357522694126688,0.3372664461972064,0.7606302492093933,6.70030426843249,0
136.0000000000764,303.28928649179517,-309023.5883892104,60603.714125893326,-248419.8742633171,0.4600461214613798,0.5430746462424576,0.4994811697110451,0.7373188930029784,1.7050585901237412,0.8182656672936479,0.3187844975826028,0.766201515075851,6.6876933449210725,0
137.00000000008117,299.53365000416824,-308123.6684572678,59853.257284210355,-248270.41117305745,0.4610421199436763,0.5382350376959302,0.4996368951784136,0.7387364987941645,1.7401420497556863,0.8280450709561722,0.3284081757777586,0.7655016056031538,6.7522060626491935,0
138.00000000008595,298.75994737307843,-308431.0147614684,59698.65487930711,-248732.35988216128,0.45831069913977096,0.5371305699129287,0.4992867183742562,0.7426206813725091,1.7363647414025731,0.8247424917494874,0.32545577337523124,0.7451199673054987,6.761769932334133,0
139.00000000009072,296.5176646966023,-309087.0194934397,59250.59863608641,-249836.42085735328,0.4583476978060057,0.5453910094345771,0.5030738814999319,0.7482751064749751,1.7443032452905474,0.8528566204933906,0.3497827389934587,0.7819405405777466,6.681941428160613,0
140.0000000000955,299.2576825161408,-308294.8761781836,59798.113052292654,-248496.76312589092,0.4527681189555709,0.5485003101973289,0.4981326719254066,0.75171105214047,1.7050301940462012,0.8261067916222851,0.32797411969687845,0.7645505085702184,6.741568358166404,0
141.00000000010027,298.55140124938185,-309217.8159883851,59656.982884200515,-249560.8331041846,0.46200029661146935,0.5524624467260786,0.5012201827699176,0.7487826722815409,1.7618525256368756,0.8512681424229382,0.3500479596530206,0.7711867061661273,6.7577439531123815,0
142.00000000010505,303.1776946171351,-309498.9195991652,60581.41567233139,-248917.5039268338,0.46330088741148545,0.5429173351403715,0.49921828273213703,0.7703758320778515,1.7118439488053845,0.8288267049548909,0.3296084222227538,0.7720050535723271,6.661942522088157,0
143.00000000010982,298.1192930624284,-309184.6145741809,59570.638386719256,-249613.97618746167,0.45711056407973505,0.5455825231816585,0.4990750575035113,0.7245054837533479,1.7483823164709165,0.8381932725069531,0.3391182150034418,0.767004316739222,6.8117155966659,0
144.0000000001146,297.6285079013424,-308949.47122158436,59472.568969418906,-249476.90225216546,0.4589341299146845,0.536091649530908,0.49922207300446025,0.7939989162076149,1.7238022860366335,0.8349880134961243,0.33576594049166403,0.7676383271916494,6.75756155526598,0
145.00000000011937,301.99389521967163,-308187.67556062574,60344.867124586286,-247842.80843603946,0.4631298983048504,0.5342360017223671,0.4995931876924213,0.72485159055908,1.663730386354425,0.8405716051109703,0.340978417418549,0.7644645788911184,6.720973976892482,0
146.00000000012415,300.9531344969998,-307859.4283613446,60136.9007765499,-247722.52758479473,0.45644831374374784,0.5434266842820197,0.499373433865695,0.7405842411031118,1.6704926198148122,0.8465826983489062,0.3472092644832112,0.7769324744708275,6.827691625245407,0
147.00000000012892,300.609665945942,-308116.9494287907,60068.26838230902,-248048.6810464817,0.4621174650062101,0.5366631219389593,0.4997593522968093,0.7298684854182085,1.712114714041297,0.8220912541837029,0.3223319018868936,0.7741731411333718,6.6861981521758125,0
148.0000000001337,300.9567652212521,-308198.4870382119,60137.62627324383,-248060.86076496806,0.45962629846267866,0.5391447022157685,0.4988994181652708,0.7370748465001848,1.652008591543801,0.8506267115892667,0.35172729342399595,0.7535862880157334,6.871514845306141,0
