branch,target_height_nm,redistribution_0to1_e_per_nm2,redistribution_0to2_e_per_nm2,redistribution_0to4_e_per_nm2,redistribution_0to2_block_sd_e_per_nm2,fraction_within_1nm,fraction_within_2nm,z50_nm,z90_nm,water_redistribution_0to2_e_per_nm2,ion_redistribution_0to2_e_per_nm2
probe_0p5nm,0.500000,0.626157998115,1.357840901890,2.375711294889,0.286929129554,0.263566536667,0.571551309627,1.825000000,3.525000000,1.345646692452,0.103679258617
probe_1p0nm,1.000000,0.535906131908,1.461106939559,2.899891872395,0.404276193470,0.184802108316,0.503848765351,1.975000000,3.725000000,1.460401307414,0.122117843969
probe_1p5nm,1.500000,0.390569082975,1.123039190413,2.440783326623,0.624079254434,0.160017924867,0.460114250275,2.125000000,3.575000000,1.112647608404,0.126349650443
probe_2p0nm,2.000000,0.465432172770,1.242517118618,2.933465396468,0.236839723102,0.158662915653,0.423566311746,2.275000000,3.575000000,1.250599489003,0.110329240220
probe_3p0nm,3.000000,0.382196351628,1.224759380098,2.459846151118,0.245674209955,0.155374087706,0.497900805520,2.025000000,3.575000000,1.215906233317,0.118188309386
