time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,yb_energy_kJ_mol,carbon_plane_nm,lowest_O_height_nm,highest_O_height_nm,mean_O_height_nm,waters_below_graphene
0.0,293.2113670679972,-78687.47044877126,25722.229624882868,0.015336656886059338,0.49892857859166195,0.2688594989506745,2.916015875028017,1.3779391679594977,0
2.0,301.2852354010119,-79449.91599100572,26430.516951188038,0.5673930487401572,0.501475834459083,0.28848790628573207,3.1008596902411827,1.360284634835433,0
4.0,303.6159118080744,-79252.2012672642,26634.977625149066,0.0022732002373004713,0.49796754508556723,0.2722069052278237,3.0475911807278826,1.346030981128349,0
6.0,299.4660662015124,-78394.7098747287,26270.928704852453,0.3998679242871961,0.5025679372185957,0.2786684514146843,3.026852433058027,1.35738985839353,0
8.0,301.41025251836595,-78545.85884265008,26441.48418970876,0.09583504818676786,0.4995092379539935,0.2703755553289332,3.1118573176294047,1.3500323371435823,0
10.0,304.608946151407,-78515.87239764119,26722.092451767207,0.6184791503187868,0.5022397182514836,0.27228531354574226,3.0765721081054815,1.336231616152478,0
12.0,302.5360767990668,-78804.37957994954,26540.24813244069,0.13083413721499298,0.5006335350878195,0.26867844119264683,3.0653630770980507,1.3191878992371826,0
14.0,300.91079012956897,-78883.79523405642,26397.668404590684,0.21903850722007087,0.5020871164473024,0.2767015805957844,2.960405596278376,1.2994031476417451,0
16.0,298.9989274564444,-78874.74183725077,26229.948540312882,0.02467970274097314,0.500018902377729,0.26758397270709267,2.995060627990621,1.291093935556287,0
18.0,303.05613698595533,-78840.79852151149,26585.870877833113,0.05825080122249749,0.49854150867042973,0.2605331641171595,3.0307979277694113,1.2742133025049782,0
20.0,298.5995335555259,-78494.33194612002,26194.911352863666,1.4840426704405105,0.4981552118467675,0.2674128898832081,2.909286432411821,1.275061304064673,0
22.0,295.7029055201973,-78717.41019818431,25940.802065738666,0.31459517434590334,0.5005950570140815,0.2849295000426043,2.897855403752231,1.26695410176703,0
24.0,301.95423866302446,-79196.8520507192,26489.205861162292,0.2704551932082229,0.5008925382529608,0.28016418383458763,3.100847268398086,1.279988043533583,0
26.0,295.4023328206593,-78557.71478269727,25914.434056633836,0.31445472922134066,0.5018031645584325,0.25960084885300183,3.085285688411754,1.2723523917723705,0
28.0,301.579198727725,-78704.82945578848,26456.30514714585,0.04638559919513493,0.5002797667782383,0.24580554549049782,3.017148803290336,1.2597348363121046,0
30.0,301.7559255668306,-79053.91832189448,26471.80866729178,0.008754742223638949,0.49861579374147097,0.27925497151693596,3.071961044366355,1.2517629352280482,0
32.0,295.9674949506049,-78700.23934487568,25964.01341035097,0.3117648450209501,0.4990213235790042,0.27968881491193565,2.959675415809901,1.2534988504808586,0
34.0,300.1972752744286,-78798.44851179433,26335.074675267668,0.0027291023080559342,0.5007103291606366,0.27794985010616025,2.9105897104752887,1.2528023477818702,0
36.0,298.1746140714925,-78208.2845018754,26157.634910788147,0.0032084507207933003,0.5000403659173273,0.27002783940849684,2.8665199893010835,1.2569057066497193,0
38.0,300.2027612678158,-78772.85417261149,26335.555938947982,0.1141496011727596,0.5016235723196584,0.27062070433792307,2.9678916026136624,1.242979205518548,0
40.0,297.7594986869045,-78095.16879333556,26121.218542111972,0.04110685693263923,0.4996968559957291,0.25655389101807424,2.8675523910758813,1.2368905193165534,0
42.0,302.87232776509467,-78765.56823329674,26569.746049408393,0.12415947024137067,0.49966039453498706,0.2689540507790434,2.881527724559129,1.2299036158765244,0
44.0,304.0016336485038,-78720.65096710506,26668.81541885424,0.10245771722172158,0.5007072305728727,0.2686220495714501,2.878270174868723,1.2264397041585895,0
46.0,303.0533759059776,-79145.16773599375,26585.628659620663,0.26095643116523276,0.4997872241883945,0.264648296222334,2.8151692043963363,1.2223633595516081,0
48.0,306.32187103249163,-78840.32697421685,26872.360320172244,0.6934511613467881,0.5005581765285667,0.26006827315371694,2.880233066027796,1.2208287099609798,0
50.0,298.6718604827976,-79068.23238946428,26201.25629729726,0.002385325906987054,0.5024454116366336,0.27049767287455395,2.7862998104509367,1.2294436295076718,0
52.0,300.13291264441887,-78920.76742470555,26329.428405940096,0.6628974908152734,0.4977078933191673,0.2713113524555999,2.745692223163185,1.2384120880407703,0
54.0,299.01580380180246,-79122.14810610365,26231.42903281517,8.035904802698087e-09,0.5008249041041032,0.27889166993985104,2.738646636243427,1.2376539911840332,0
56.0,298.0714072318716,-79389.80365085346,26148.5809984036,0.015843989583766663,0.49818163519554454,0.2641264501422412,2.824742632838016,1.2376490964939098,0
58.0,300.15599313514986,-79316.75179555081,26331.453162648453,0.07211109366492764,0.5020667444023306,0.27217711801765043,2.7472094841094443,1.2312474170964647,0
