stage,target_temperature_K,measured_temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,yb_energy_kJ_mol,carbon_plane_nm,lowest_water_O_height_nm,highest_water_O_height_nm
1,50.0,42.84987660221661,-113921.97234811971,5763.08332593323,0.43627045262474634,0.5008360405496955,0.3016206611562203,3.5279592789056027
1,50.0,48.35826430746712,-113582.0835559878,6503.932538443276,0.8033428770349721,0.5004303427119265,0.2906963746364979,3.502261637409244
1,50.0,49.86162537318571,-113677.20239354158,6706.126705094664,0.7615898251135889,0.49995437876640164,0.29304471861090103,3.5231645079873197
1,50.0,50.54260531685256,-113890.94545449084,6797.714930542164,0.43257900716985026,0.5002314322432042,0.2797463118151926,3.468181138965626
1,50.0,50.40537850230061,-113986.7614572749,6779.258644794672,0.3158006712884073,0.49992085798629216,0.26453449776928206,3.4260850073779006
1,50.0,49.34643425240479,-114124.35723141406,6636.836205488236,0.11191204997828506,0.4998285503531989,0.27513996164426363,3.4404869253058386
1,50.0,50.08289138031878,-114195.7605312554,6735.885820812595,0.5290399930490075,0.5003644465696733,0.26978913815808325,3.400548365075011
1,50.0,50.17785784539258,-114196.04100997164,6748.658311535739,0.3257925615976551,0.49936304950435934,0.2775805337436427,3.4568265534593143
1,50.0,49.93972825972628,-114237.50770868652,6716.631133084217,0.25957011743731023,0.5003922067350495,0.2775045418633295,3.408892777175681
1,50.0,50.145726498750896,-114364.30159701826,6744.336814188395,0.25857402076619473,0.4999331530403219,0.27875315177478505,3.4763435503472686
1,50.0,50.66871587173202,-114331.90249233192,6814.676137753959,0.1916342469873131,0.5009883536794317,0.27583250779306234,3.4328866572706076
1,50.0,50.33121857992502,-114320.22529697954,6769.284524774146,0.03660729530938151,0.49974769237307765,0.2769208461606785,3.4401616299175894
1,50.0,50.39727717662873,-114387.95186009468,6778.169059045546,0.23188831523919878,0.49974869426027935,0.27981863752975267,3.4225337872892756
1,50.0,50.32545799998976,-114396.43466108665,6768.5097570313865,0.37716077745935406,0.4997660026267744,0.2899477206221023,3.4392116171081533
1,50.0,49.98855330763052,-114298.53015350527,6723.197845564558,0.26706618855827985,0.5005481968747421,0.27864334799936374,3.307177417412856
1,50.0,50.28246342972583,-114402.75170944503,6762.727213167984,0.23956107030061324,0.499701878516545,0.27480691452772077,3.302441306514412
1,50.0,49.45734003478306,-114321.93635569105,6651.752450664558,0.22862245806518405,0.4995926890955589,0.2712581543042185,3.3066947099566786
1,50.0,49.604888855603264,-114368.96928897209,6671.596992036844,0.34574214077278276,0.49976690106304705,0.2741717079710812,3.293731034993947
1,50.0,49.92993514702519,-114421.6628808335,6715.314010866094,0.2205669898463511,0.4997936775932357,0.27301633600408826,3.298371940242802
1,50.0,49.65044409686041,-114519.76377872785,6677.723932698427,0.11479672083391101,0.5005735352572495,0.26890327454543506,3.293744960863183
2,100.0,90.44370132480172,-108925.97312073596,12164.202755573086,0.05566298601974948,0.5004370801200453,0.2845284805214867,3.3061604694322764
2,100.0,96.89459767593841,-108274.02403875045,13031.814430250259,0.06302617114921528,0.5000078843380982,0.2723399850575965,3.3315804225104646
2,100.0,99.56477603368003,-107799.78263771499,13390.93939375068,0.19457677509817062,0.49960653485742496,0.27446001310466445,3.304104612132538
2,100.0,100.1325548833663,-107908.67629579874,13467.302666667903,0.04998949738728746,0.5002285851330827,0.2814802584313957,3.293651886708877
2,100.0,100.50968315373191,-107815.9396842937,13518.024438094655,0.1055439988945154,0.49933611909121317,0.2799785969108119,3.292260730839151
2,100.0,99.76786095573277,-107701.99422375322,13418.253249024887,0.056081642633980924,0.5004449036122829,0.2737903297815023,3.2930294229513786
2,100.0,100.44292105008923,-108091.08398869343,13509.045285835264,0.1300874240782314,0.49952180675200436,0.2809428568054804,3.2918459557203925
2,100.0,100.49224193742575,-107859.48124582286,13515.678686114756,0.14839697521112372,0.5008974653165362,0.279500807045323,3.315513106284596
2,100.0,100.23931492310217,-108011.36371022929,13481.661331235118,0.06972534946426415,0.49923356725887313,0.2858575645306586,3.2892441568574675
2,100.0,100.09277891124317,-108145.61338205892,13461.953007348144,0.0015266650600342744,0.5007595397266829,0.28480316130538386,3.311394262490262
2,100.0,98.44044821752348,-108310.15855011868,13239.723208221698,5.340581073233994e-06,0.500080870494879,0.2811907155147292,3.304808935155106
2,100.0,98.8944586617974,-108415.84589211305,13300.785228200984,0.01713475621693071,0.5007125084752062,0.27819333003121716,3.3139556692071794
2,100.0,99.46211904365418,-108235.27999446006,13377.132567817418,0.032005700572673025,0.5005920688530076,0.28305315502299366,3.3025712492736727
2,100.0,100.28421492117546,-108269.21887675638,13487.70014513026,0.33073619938973997,0.49891871354302764,0.27689200164039673,3.3322074969213946
2,100.0,101.15661282597202,-108372.99210795388,13605.033080890735,0.01300141148309392,0.5016430625610058,0.27927704310431256,3.3007704555332493
2,100.0,101.32045631372128,-108376.36998104933,13627.069169374165,0.01847525862361709,0.499887531941719,0.2774205963399913,3.275501744484584
2,100.0,101.04427041800956,-108382.65876249212,13589.923617119486,0.01568044287456542,0.4999479624214067,0.2643568987603744,3.292458678129089
2,100.0,100.97960954631786,-108465.00410345301,13581.227069520386,0.003978546308756842,0.5001774649076964,0.2807543753923294,3.283426108857907
2,100.0,100.65011428217097,-108507.9215625606,13536.9116872287,0.0006617088904663401,0.4997150378144286,0.2743412845003248,3.270429914704556
2,100.0,99.0197054494282,-108485.11644064612,13317.630263254934,0.0620412154982784,0.5001686329645321,0.27345439976251273,3.2611787850002107
3,150.0,139.39455602236868,-102608.71256680449,18747.835588791913,0.013310326385459365,0.4997437081752696,0.27859631496011206,3.2749525695447983
3,150.0,146.2640117484531,-102141.4324767153,19671.741300837435,0.028590594914905558,0.4996639404638676,0.26960515344703145,3.348861534584324
3,150.0,148.82857603268658,-101751.02548630151,20016.661726208866,0.00032983814889838374,0.49987923671924145,0.2857612767968583,3.3437187649280737
3,150.0,151.35060740924123,-101764.07124115725,20355.86169890962,0.038933249901278125,0.49939588337811164,0.26780660374424076,3.356165231734673
3,150.0,148.14429270337897,-101616.69414207921,19924.629212744338,0.029936827740645662,0.5006967640983533,0.25971877161244517,3.3265353882205746
3,150.0,150.7865697255635,-101728.75716444443,20280.001593169363,0.053703607898742976,0.4987890108895351,0.2609099888358636,3.2916993333448126
3,150.0,150.36408523548775,-101697.03737993422,20223.179648433703,0.07582766782467332,0.49931932197320805,0.27981773975080226,3.335805318622138
3,150.0,149.9463588622117,-101632.12158191903,20166.997645414696,0.02539754232234491,0.5002197877023459,0.2851371332992866,3.3439995521902364
3,150.0,149.21693445914204,-101732.53515423974,20068.893894641184,0.05511518260100658,0.4996368422458674,0.2746269948743168,3.2996470052907823
3,150.0,151.25198104866297,-101918.01930891373,20342.596971465417,0.05878257170300875,0.5004645386858882,0.2674610241800123,3.335213179179172
3,150.0,148.24431522081431,-101945.33712950523,19938.08171595224,0.041312463307003645,0.49995243585780264,0.26621138722048393,3.36033161669721
3,150.0,150.69744940724553,-102034.6919060956,20268.015378476888,0.004890348392398805,0.49990368963919557,0.2859563447009987,3.328057553498256
3,150.0,151.70147861181508,-102194.57701009128,20403.05203263858,0.048081852638408286,0.5006215397515981,0.2719387949605021,3.3047483256538497
3,150.0,150.16730468528422,-102055.67303721036,20196.71369805831,0.053809783912037924,0.5006521306674936,0.2826388170257734,3.3292990129209805
3,150.0,150.94428422416325,-102086.05870994425,20301.213364805855,6.917392227811776e-05,0.4986250557156458,0.2788649561710452,3.295967246960597
3,150.0,151.56969141814938,-102016.35060245125,20385.327347327653,0.05016430852363149,0.500617106805227,0.2719979731718012,3.2805513713457044
3,150.0,149.51613451945565,-102017.83586745732,20109.134731148573,0.0022781863177255444,0.4999177273339922,0.27517221995447894,3.2887384084507207
3,150.0,148.59221667415713,-101981.54420954082,19984.8726340088,0.12175740570599725,0.4983788717448917,0.274705991145764,3.284493166695482
3,150.0,149.11109932169967,-102015.25697812543,20054.659624574222,0.0035814342408463035,0.5009772744344634,0.2723685954242754,3.258532424735071
3,150.0,149.11977168741603,-101962.17275946704,20055.826012209836,0.06736843428366492,0.5007318005390486,0.2738391005735854,3.287862801925522
