stage,stage_elapsed_ps,context_time_ps,target_height_nm,actual_height_mean_nm,actual_gap_max_nm,restraint_energy_kJ_per_mol,temperature_K
pull,1.000,1.000,2.054236,2.127642,2.092267,1.347083,300.254
pull,10.000,10.000,2.071294,2.071038,2.023563,0.000016,301.347
pull,20.000,20.000,2.090247,2.016467,1.969496,1.360892,300.079
pull,30.000,30.000,2.109201,2.114543,2.067889,0.007136,299.665
pull,40.000,40.000,2.128154,2.022263,1.972057,2.803200,300.416
pull,50.000,50.000,2.147107,2.151615,2.112085,0.005081,298.849
pull,60.000,60.000,2.166060,2.147971,2.107541,0.081808,300.547
pull,70.000,70.000,2.185013,2.099392,2.055939,1.832775,299.407
pull,80.000,80.000,2.203967,2.113571,2.062738,2.042856,300.360
pull,90.000,90.000,2.222920,2.257776,2.217400,0.303749,300.081
pull,100.000,100.000,2.241873,2.298442,2.261713,0.800016,299.601
pull,110.000,110.000,2.260826,2.307053,2.261947,0.534233,300.049
pull,120.000,120.000,2.279779,2.289384,2.250887,0.023063,299.703
pull,130.000,130.000,2.298732,2.174670,2.134276,3.847863,300.027
pull,140.000,140.000,2.317686,2.204654,2.157267,3.193997,299.609
pull,150.000,150.000,2.336639,2.184947,2.133467,5.752573,299.704
pull,160.000,160.000,2.355592,2.295273,2.246574,0.909608,300.086
pull,170.000,170.000,2.374545,2.364268,2.322814,0.026403,300.112
pull,180.000,180.000,2.393498,2.375355,2.337153,0.082296,299.619
pull,190.000,190.000,2.412451,2.463333,2.423603,0.647235,301.240
pull,200.000,200.000,2.431405,2.459798,2.417979,0.201544,299.980
pull,210.000,210.000,2.450358,2.332364,2.281542,3.480636,299.242
pull,220.000,220.000,2.469311,2.310506,2.270658,6.304730,299.855
pull,230.000,230.000,2.488264,2.522259,2.468875,0.288914,301.714
pull,240.000,240.000,2.507217,2.483715,2.448699,0.138087,299.914
pull,250.000,250.000,2.526171,2.561541,2.521513,0.312765,299.754
pull,260.000,260.000,2.545124,2.388668,2.346283,6.119582,299.899
pull,270.000,270.000,2.564077,2.412696,2.368304,5.729035,299.196
pull,280.000,280.000,2.583030,2.582616,2.522168,0.000043,298.898
pull,290.000,290.000,2.601983,2.754200,2.711271,5.792443,299.276
pull,300.000,300.000,2.620936,2.668188,2.624507,0.558181,300.903
pull,310.000,310.000,2.639890,2.539616,2.493102,2.513723,300.730
pull,320.000,320.000,2.658843,2.577447,2.536347,1.656331,299.624
pull,330.000,330.000,2.677796,2.641787,2.601367,0.324168,300.255
pull,340.000,340.000,2.696749,2.543333,2.507728,5.884111,299.333
pull,350.000,350.000,2.715702,2.715796,2.674663,0.000002,299.795
pull,360.000,360.000,2.734656,2.649675,2.612136,1.805431,301.000
pull,370.000,370.000,2.753609,2.653910,2.607641,2.484950,299.806
