time_ps,temperature_K,potential_kJ_per_mol,kinetic_kJ_per_mol,total_kJ_per_mol,graphene_z_min_nm,graphene_z_max_nm,graphene_z_mean_nm,ligand_z_min_nm,ligand_z_max_nm,pyrene_z_mean_nm,pyrene_height_above_graphene_nm,pyrene_tilt_from_graphene_plane_deg,pyrene_plane_rms_nm,terminal_C36_height_above_graphene_nm,pyrene_center_to_terminal_C36_nm,ligand_vertical_span_nm,water_z_min_nm,water_z_max_nm,water_below_graphene
20.00000000000146,299.57808038094896,-304444.80329276295,59346.53346249725,-245098.2698302657,0.4633205684069974,0.5385994491907642,0.5015463714517248,1.876163926964498,3.4834852509242733,2.157450728046597,1.6559043565948723,51.396043350861724,0.006229425615862922,2.3213771393780993,1.3175364787248367,1.6073213239597752,0.7710298888427319,6.5018782489584535,0
21.000000000002682,298.02399045183313,-305352.7085786718,59038.66764713211,-246314.04093153967,0.46132503271219605,0.5469151445332834,0.5005903064921513,1.7864827139222488,3.4952101587104796,2.1257595465965644,1.625169240104413,62.68711063160475,0.006559700884513369,2.308494731688027,1.3217188460429756,1.7087274447882308,0.7657536015819204,6.595083220399708,0
22.000000000003904,299.21044995158564,-305132.5351306889,59273.70573240999,-245858.82939827893,0.44920343011182684,0.5523996279342089,0.5019098682345579,1.8444568005801854,3.4782869164642065,2.1400983703333507,1.6381885020987927,53.37394885033279,0.009162553115709684,2.374857404194328,1.4091467403264495,1.6338301158840212,0.7693627622706902,6.5491097207808195,0
23.000000000005127,298.783713536637,-305640.35736908903,59189.16908374327,-246451.18828534576,0.45887723628659555,0.5390167519633238,0.4994123202959467,1.8823926900305494,3.4619500025444694,2.1712001740885296,1.671787853792583,51.62202459626661,0.010034581768729147,2.343269311352464,1.2910735959956279,1.57955731251392,0.7660340040009785,6.61570602905411,0
24.00000000000635,299.7501643289875,-304933.8943463578,59380.62335908662,-245553.27098727116,0.4463074488335682,0.5420868448132468,0.49906134924965373,1.8171423566631963,3.5098775462342218,2.096229752124535,1.5971684028748814,51.322025993814265,0.004631397167844391,2.385791851855093,1.4754664349154605,1.6927351895710254,0.7559480506116625,6.629934522172675,0
25.00000000000757,299.2220139552221,-305525.64963343367,59275.99656599801,-246249.65306743566,0.4676280697728492,0.5506870174303153,0.4995198593313453,1.901765422783182,3.5504571564988154,2.1955357374982505,1.6960158781669052,54.93252068616516,0.00491818685686451,2.364040520485607,1.3942699302863735,1.6486917337156335,0.7655078656194547,6.480138978067458,0
26.000000000008793,296.1296484557555,-305051.71527214535,58663.39776584882,-246388.31750629653,0.453808048648086,0.5378206540609831,0.49711902308431,1.8529365991855933,3.5396658184498975,2.153240672554052,1.6561216494697417,56.121669080058666,0.00770628959319515,2.5187055135315264,1.4300475653794322,1.6867292192643042,0.7589505047349849,6.554364531085,0
27.000000000010015,301.682843951188,-305263.602420161,59763.48793891621,-245500.11448124482,0.45694378773172684,0.5358157509401096,0.49898120095007714,1.9092951477157705,3.5930699809287425,2.2185632390698595,1.7195820381197824,63.55454334856006,0.005753844588985492,2.388409215013915,1.3332917663074029,1.683774833212972,0.7653227579880069,6.569059591862072,0
28.000000000011237,298.73017101190425,-303740.37932588253,59178.562288908084,-244561.81703697445,0.4546105431983083,0.5372403949470419,0.49875653782917234,1.9006588578558015,3.564313869728636,2.204920421941999,1.7061638841128268,66.40480715553598,0.0076653839496805595,2.3167856880102273,1.2195744253435263,1.6636550118728346,0.7533194773860412,6.601099053370945,0
29.00000000001246,300.1012213771273,-304524.0303915674,59450.16789595053,-245073.86249561686,0.4662434895810694,0.5493333094399837,0.500994715061702,1.9065079928989288,3.536453575516326,2.2009811672685458,1.6999864522068437,55.89378426251702,0.007349373724250861,2.3220448424772036,1.3160928962324803,1.6299455826173972,0.7761462906914776,6.629086871819425,0
30.00000000001368,299.15442443910223,-304551.9029574469,59262.60705674212,-245289.29590070475,0.4651081062204625,0.5465245913999586,0.5002602323370637,1.955988925258385,3.545496368012742,2.2086702465348758,1.708410014197812,48.99962967171989,0.00494386974366728,2.416446500742991,1.2791093769188,1.589507442754357,0.7782474822127825,6.594434117173336,0
31.000000000014904,298.64123430715495,-304049.68938985746,59160.94389333743,-244888.74549652002,0.4501497976146349,0.5462747989153964,0.4991583685234813,1.9512013250048978,3.5734466664258733,2.232681826526568,1.7335234580030867,52.21432350054355,0.00525305147579588,2.4597588044149994,1.4306515000308186,1.6222453414209754,0.7778310913602136,6.664877051726506,0
32.00000000001612,303.64692165930484,-304541.8580390299,60152.57249169617,-244389.2855473337,0.45872869458312815,0.529239246356827,0.49858597781683894,1.95292718777889,3.536337420054185,2.2768756069610543,1.7782896291442154,66.78776122264973,0.0041467168169225955,2.4906593150491845,1.365191650473667,1.5834102322752948,0.7655964204747612,6.576843679752635,0
