stage,stage_elapsed_ps,context_time_ps,target_height_nm,actual_height_mean_nm,actual_gap_max_nm,restraint_energy_kJ_per_mol,temperature_K
settle,390.000,890.000,5.000000,4.976946,4.934165,0.132873,298.403
settle,400.000,900.000,5.000000,5.064924,5.019228,1.053774,298.804
settle,410.000,910.000,5.000000,5.027112,4.986106,0.183772,299.264
settle,420.000,920.000,5.000000,4.919117,4.876170,1.635497,300.475
settle,430.000,930.000,5.000000,4.950771,4.911041,0.605877,300.278
settle,440.000,940.000,5.000000,4.989731,4.935560,0.026361,298.876
settle,450.000,950.000,5.000000,4.988222,4.946570,0.034680,301.017
settle,460.000,960.000,5.000000,5.059836,5.007214,0.895084,301.888
settle,470.000,970.000,5.000000,5.133300,5.090205,4.442179,300.830
settle,480.000,980.000,5.000000,5.075404,5.033824,1.421447,298.985
settle,490.000,990.000,5.000000,5.045972,5.004573,0.528353,300.502
settle,500.000,1000.000,5.000000,4.951049,4.901516,0.599042,299.759
production,1.000,1001.000,5.000000,5.036480,5.000651,0.332697,299.572
production,100.000,1100.000,5.000000,4.985932,4.939600,0.049475,300.977
production,200.000,1200.000,5.000000,5.056682,5.021958,0.803229,300.242
production,300.000,1300.000,5.000000,4.969470,4.932537,0.233020,299.046
production,400.000,1400.000,5.000000,4.967743,4.917420,0.260122,299.809
production,500.000,1500.000,5.000000,4.907483,4.862172,2.139866,299.669
production,600.000,1600.000,5.000000,4.962933,4.916258,0.343481,299.932
production,700.000,1700.000,5.000000,4.996484,4.950923,0.003090,299.676
production,800.000,1800.000,5.000000,4.941480,4.904173,0.856157,300.688
production,900.000,1900.000,5.000000,5.040941,4.995576,0.419046,300.497
production,1000.000,2000.000,5.000000,4.973281,4.933259,0.178484,299.897
