time_ps,step,temperature_K,potential_kJ_mol,kinetic_kJ_mol,pyrene_height_nm,pyrene_tilt_deg,graphene_z_mean_nm,graphene_z_min_nm,graphene_z_max_nm,water_O_min_nm,water_O_max_nm,waters_below_graphene,lower_wall_violation_nm,upper_wall_violation_nm
500.0,500000,306.1442734335735,-308313.9462746028,61174.20184227158,0.3355649720242698,4.068833385584152,0.5009492759945818,0.46358496778098335,0.5460403061546639,0.766744807913522,6.755634236285353,0,0.0,0.0
501.9999999999527,502000,301.2372960631372,-308347.6194184832,60193.6823612836,0.32169281214878975,4.727185648313126,0.4989817565158373,0.45917061554956984,0.5361156598266357,0.7749109809918551,6.772493942393879,0,0.0,0.0
503.9999999999054,504000,299.3749611775449,-308284.4915768211,59821.54784799881,0.334450074445796,6.913803885762123,0.5026092458730355,0.4626033192699879,0.5448887690752144,0.7631792187038435,6.7355496034880815,0,0.0,0.0
505.9999999998581,506000,300.7142839827151,-308445.8189862049,60089.17331326238,0.32705963859429543,1.4579757214908544,0.49934059474502246,0.45738509418345497,0.5398470340513608,0.775438228689266,6.684776012535821,0,0.0,0.0
507.9999999998108,508000,301.11824719422845,-308850.2183118453,60169.89384009378,0.34497631498905645,5.321998767928561,0.5012481368161193,0.464454059161008,0.5344553487340464,0.7703840666387634,6.612642379683116,0,0.0,0.0
509.99999999976353,510000,300.2640047683112,-308914.99636315554,59999.197854181,0.32995508087458736,4.267185661702627,0.4990222710141853,0.46199876443539,0.5418515623731803,0.7718206999248807,6.5982292880715505,0,0.0,0.0
511.99999999971624,512000,300.81675352467596,-309576.15188204776,60109.64892880239,0.3449306591390387,8.884815658724229,0.49899426074605063,0.4578604758580367,0.539478957853825,0.7739073100397875,6.603900334062885,0,0.0,0.0
513.999999999669,514000,297.5328458774445,-308190.6324754101,59453.45364221407,0.31022186693174153,3.4342020351462255,0.4978533453876049,0.45752915780270287,0.542914421997521,0.7743290408099259,6.637073806985242,0,0.0,0.0
515.9999999996217,516000,301.3697511588371,-308491.2888185154,60220.149734553415,0.3394622091938283,9.90813027060016,0.4996366638053643,0.45778319655327815,0.5440776331836154,0.77674216469683,6.556198706574854,0,0.0,0.0
517.9999999995744,518000,301.7848129719342,-308600.01669275016,60303.08800038032,0.35517161307185674,6.378670631940857,0.5018296865914065,0.458106926199112,0.5464405539514168,0.7739539723140609,6.616911149076998,0,0.0,0.0
519.9999999995271,520000,296.6596248037829,-308781.2159129414,59278.96531481868,0.33374810415423667,4.592370134880534,0.4997057659441056,0.46190466994939694,0.533438895227496,0.771811074241449,6.677708056939778,0,0.0,0.0
521.9999999994798,522000,302.76535526576157,-307923.68461950356,60499.021412835595,0.33172112563647616,5.81227063019113,0.4991378062302173,0.4590086980112029,0.5442604537152143,0.7676289586196896,6.606696461959373,0,0.0,0.0
523.9999999994325,524000,301.4030746556467,-309058.6754873749,60226.80848500809,0.32395962148983315,2.353581296310434,0.5000480508321229,0.4602467665173151,0.5467286589988536,0.7724708204468111,6.677584806598716,0,0.0,0.0
525.9999999993852,526000,301.24015564183037,-308887.07367435703,60194.253766530535,0.3285721934523441,4.209901373714469,0.5011745480782682,0.4646127622956753,0.5400285129097985,0.7772966872532798,6.7012862994874105,0,0.0,0.0
527.9999999993379,528000,302.2940792664199,-308288.3208122263,60404.85034511056,0.3272610341124218,5.096992164328262,0.5000586788984303,0.4553953164178859,0.5430064376785086,0.758647234939728,6.5979816375648,0,0.0,0.0
529.9999999992906,530000,299.7894309778632,-307835.0517590423,59904.36781695604,0.32832582125660636,2.0985761073601523,0.5026337380287323,0.4640233475912279,0.5468526934535713,0.7649898633933887,6.6125905142421,0,0.0,0.0
531.9999999992433,532000,296.70513757390756,-308416.4578517638,59288.05974390854,0.33095897722100204,3.774910282821849,0.4971056337893815,0.4477960671807466,0.5394848475394749,0.7520917608640105,6.640371411441947,0,0.0,0.0
533.999999999196,534000,298.5038423616678,-307770.5450956812,59647.47959686548,0.3334506363974316,5.491649069952814,0.499129526901452,0.460892256564456,0.5495227598987316,0.7445643161423572,6.753522618282673,0,0.0,0.0
535.9999999991487,536000,302.4048662233244,-307089.20973805245,60426.987958815225,0.34210627340341354,6.049494284363587,0.49827877731520304,0.4504624930137804,0.5443161367852252,0.7611282510253989,6.62081497928159,0,0.0,0.0
537.9999999991014,538000,305.0396838749932,-307952.7771417191,60953.48112177077,0.3267979380297906,5.009698965850372,0.5017686986241077,0.45323544828352924,0.5405080812861369,0.7761598787629036,6.69017438515796,0,0.0,0.0
539.9999999990541,540000,297.93153166388134,-308978.8693663208,59533.119626155545,0.32601996656489346,0.8302401621799447,0.4993993649975093,0.4550664139058992,0.5434701857453597,0.7579657190268421,6.7757600323465255,0,0.0,0.0
541.9999999990068,542000,297.78711028064697,-308662.7668252806,59504.26113159926,0.3414833589463289,6.793949933639335,0.4987014840594382,0.46533579969828676,0.5343727451299559,0.7812918701339253,6.674924657393547,0,0.0,0.0
543.9999999989595,544000,298.5000427893981,-308829.6309511303,59646.720360710795,0.31742346436292046,3.655655098175857,0.49968499100681285,0.4644070736852397,0.5412633094315584,0.7764926494108195,6.759659349736886,0,0.0,0.0
545.9999999989122,546000,298.7604508325863,-308184.600899064,59698.75548133114,0.3338691210382667,2.633405597943529,0.5024328413849,0.466505035477895,0.553350845686218,0.7751072498129874,6.601351635808648,0,0.0,0.0
547.999999998865,548000,299.26099783444647,-308275.49864180246,59798.775524103505,0.3341791080443529,2.115014678581035,0.49913233958661096,0.461156136809886,0.5449431764013752,0.7732799216415813,6.667486106194083,0,0.0,0.0
549.9999999988177,550000,296.1373085781753,-308669.0853827344,59174.59531353645,0.3462749589552448,8.666231605383734,0.49996629343269633,0.46083663322272983,0.5445475000124217,0.7656905612977836,6.762040938558727,0,0.0,0.0
551.9999999987704,552000,301.53412308650775,-307995.9829845051,60252.99477642779,0.3416636618665036,3.028695873132973,0.49735857419224155,0.4564884565631506,0.5368439647611574,0.7730526203433232,6.734326142299764,0,0.0,0.0
553.9999999987231,554000,299.4435894553305,-307605.2528461432,59835.26125204278,0.32636410467671784,4.238393794929101,0.5011568959239441,0.46184572346772934,0.5402298069352103,0.7852671455121207,6.6480347481370075,0,0.0,0.0
555.9999999986758,556000,298.8919667360077,-307923.19676264655,59725.03518380978,0.3306788468446276,1.7796941351723246,0.49983430263600387,0.45661321268939525,0.5399024794857556,0.7678097526049634,6.743347702220795,0,0.0,0.0
557.9999999986285,558000,300.79774716529795,-307843.4398532086,60105.85104994012,0.32115802260861037,3.2615678808234283,0.500919716713382,0.4604764266342649,0.538995254946129,0.7871639997602173,6.66507686455472,0,0.0,0.0
559.9999999985812,560000,304.62008003815157,-307812.74443116924,60869.63526203656,0.32367610845845785,6.461649381399948,0.4991770253243606,0.46451977159127766,0.5396684552538291,0.7697005343835928,6.757477134534369,0,0.0,0.0
561.9999999985339,562000,298.0855092589966,-308668.9407849973,59563.88765711403,0.31710586266298607,2.777075265806631,0.4984023293180729,0.46087814597877585,0.5380563929231084,0.7716526929165952,6.639402514337519,0,0.0,0.0
563.9999999984866,564000,298.58751531964754,-308301.6604605792,59664.199251173515,0.3430269832782946,4.778547958672017,0.5001362268195612,0.4682252138956313,0.5436685013014215,0.7739789470215359,6.766069261228921,0,0.0,0.0
565.9999999984393,566000,299.3495850683462,-308567.1719890693,59816.477156299494,0.348992921054848,2.1488179632415454,0.5006230723391836,0.4621297965939868,0.5413459820785054,0.7631302964267892,6.705796945288782,0,0.0,0.0
567.999999998392,568000,296.66011262692047,-307974.2230713456,59279.062792360055,0.3431377440510284,4.243167241331204,0.4972238674992821,0.4567081492869054,0.5418947972223505,0.775099789139281,6.706115487511283,0,0.0,0.0
569.9999999983447,570000,300.7785069520053,-308724.11724765925,60102.006442042504,0.3393527418946862,7.6444075476411495,0.49896869418672396,0.4576017404867585,0.5405895682458031,0.7711417688129999,6.754202959803862,0,0.0,0.0
571.9999999982974,572000,297.3445860636804,-307911.13062743144,59415.83528758399,0.33192582861658815,2.5509592250644877,0.4989035885096901,0.4562963893789611,0.5482037946591145,0.7711613517917755,6.701010921233646,0,0.0,0.0
573.9999999982501,574000,300.2915121937971,-309356.45579578355,60004.694428655384,0.33510770483645336,1.4769682790290641,0.49900355033890753,0.4544383190113068,0.5394168164380879,0.7561758407630688,6.696462058510555,0,0.0,0.0
575.9999999982028,576000,299.19429048748805,-308411.6862004893,59785.44596330059,0.34119452357437674,4.352613179466844,0.502781101595424,0.45791910181189355,0.5448504002014296,0.7511524987551113,6.776091971571255,0,0.0,0.0
577.9999999981555,578000,299.1480709659286,-308954.82122036023,59776.21031009297,0.32435243625431615,5.219386095085747,0.499893375414808,0.45713031336776494,0.5399133430897942,0.7760614613635983,6.761054025371858,0,0.0,0.0
579.9999999981083,580000,299.8783889230186,-308525.22249681037,59922.143525223815,0.3451105100538099,4.378111985189932,0.49786480989839454,0.45424730744965913,0.5358696914144492,0.7699660130608477,6.781771182187143,0,0.0,0.0
