z_nm,rho_mean_e_per_nm3,rho_2ns_block_sd_e_per_nm3,phi_mean_mV_relative_to_bulk,phi_2ns_block_sd_mV,E_mean_V_per_m,exponential_fit_mV
7.950000000000000178e+00,-4.188300644309833620e-02,2.226322119220618678e-01,3.526759972793225284e+00,2.431571724368527327e+02,3.489814027943450212e+07,-7.116585161264826809e+01
8.050000000000000711e+00,-1.471767855894418747e-02,2.161539265787897623e-01,2.597437570280636265e+00,2.495440264664070185e+02,-1.631169222918339632e+07,-7.144623512195133230e+01
8.150000000000000355e+00,-9.015681753200741055e-02,1.064728183961377167e-01,8.972900417074324508e+00,2.555181313591863841e+02,-1.111975647066901177e+08,-7.172106666578730483e+01
8.250000000000000000e+00,2.010891232176240384e-01,2.228127421789205254e-01,1.507432116110840603e+01,2.587922554117528762e+02,-1.083085017399096489e+07,-7.199045618043814443e+01
8.350000000000001421e+00,-9.979330434955191453e-02,1.288187680889231468e-01,1.157500411228690140e+01,2.630521503521904947e+02,8.081719115042193234e+07,-7.225451142530165782e+01
8.449999999999999289e+00,1.047001883604624234e-01,1.200343960653617870e-01,3.271308259393479467e+00,2.680554098005052310e+02,8.525672590744608641e+07,-7.251333802599657474e+01
8.550000000000000711e+00,-1.503707807227975535e-01,3.955316841404453165e-01,-3.188326274249697612e+00,2.645821141498630595e+02,4.393596476541844010e+07,-7.276703951661421854e+01
8.650000000000000355e+00,1.385373686451894445e-02,3.655071147916862939e-01,-1.406189232458887606e+00,2.627898779508605571e+02,-7.957870560123543441e+07,-7.301571738113358379e+01
8.750000000000000000e+00,9.272485949656289819e-03,2.221422602149770997e-01,5.505501412326029964e+00,2.704710063774073774e+02,-5.865510729446309060e+07,-7.325947109401622015e+01
8.850000000000001421e+00,-1.855505704964829222e-02,1.636260319653062567e-01,1.179093542650178073e+01,2.758736612095436840e+02,-6.705357298905271292e+07,-7.349839815999737880e+01
8.949999999999999289e+00,5.121771666708177517e-02,2.338371541902254103e-01,1.701870519423637163e+01,2.788618602991665512e+02,-3.750182236563877016e+07,-7.373259415308918108e+01
9.050000000000000711e+00,5.816429079767070770e-02,2.537862233609807783e-01,1.582068381672363522e+01,2.824988954811719282e+02,6.146224991589336842e+07,-7.396215275481152673e+01
9.150000000000000355e+00,-5.581151244339294104e-02,2.485162932879552422e-01,9.568024260386442492e+00,2.875328304424240855e+02,6.359094121085064858e+07,-7.418716579166593306e+01
