time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,yb_energy_kJ_mol,carbon_plane_nm,lowest_O_height_nm,highest_O_height_nm,mean_O_height_nm,waters_below_graphene
500.0,296.336631989927,-77486.17357270571,39855.72043855117,0.4763686454984494,0.4991351726218292,0.25965713586858946,2.6720067744451206,1.1144624494031221,0
502.0,303.7388514480604,-77236.90213549498,40851.28007411522,0.1115708222282186,0.49839321381499047,0.2802329486480384,2.6846640588078667,1.107438932684091,0
504.0,298.37804192878684,-76643.51964667905,40130.279352436795,0.3298406971247113,0.5011382391053957,0.2671909776968583,2.8003919558471098,1.0959243691976366,0
506.0,299.13559983360886,-76866.52634395391,40232.16691141947,0.11401562829380299,0.5006999290638301,0.27043489056694914,2.586292932674408,1.0900503411523188,0
508.0,300.5789132520961,-76701.26938832202,40426.284984929836,0.2994572275807706,0.4992284783959337,0.26589195228095025,2.588729274114223,1.098328358363634,0
510.0,301.56200229090393,-77121.56897959742,40558.50529678875,0.1847819965320568,0.49823923429628414,0.26609417559536774,2.550630402138441,1.1022268775613027,0
512.0,298.97176856963466,-76570.88871458545,40210.132466969575,0.00855025982542684,0.4991956748813931,0.2593114129407252,2.6673708409726715,1.0995844428756327,0
514.0,300.6055330262822,-77423.54534346482,40429.86520473249,0.5845559708750664,0.5012818156157869,0.28204032290302206,2.517724161200942,1.0942191253980247,0
516.0,297.19601940914504,-77843.36410479457,39971.303532341364,1.5597497831969456,0.49818382921707516,0.2652296877831025,2.4849191681746503,1.0828305404911613,0
518.0,302.57012503282874,-77060.05326592701,40694.092510222654,0.13983546805169028,0.49957027824610234,0.2700955684615295,2.6180011311556455,1.0838091243369405,0
520.0,299.637320618203,-77122.47577185044,40299.64572156425,0.0003276383758907929,0.49953898683996895,0.27290328824412685,2.4983142108245637,1.0951795022852877,0
522.0,301.4079288509331,-77003.9513102267,40537.7832284125,0.4942198137149236,0.4999546232625109,0.26758431711293246,2.5619650271746686,1.0966438784045667,0
524.0,300.90109008573387,-77114.78784188745,40469.61607675949,1.9998245987818086,0.4985917952726144,0.26253978307083187,2.5227178321101382,1.1130161481974004,0
