time_ps,pyrene_height_nm,lateral_displacement_nm,lateral_x_nm,lateral_y_nm,path_length_nm,tilt_deg
178.000,0.33758435,0.39272555,-0.29424155,-0.26010627,4.57377749,3.098194
179.000,0.32502654,0.35321808,-0.23571749,-0.26305945,4.63237602,1.214504
180.000,0.34227763,0.35670575,-0.27507876,-0.22709177,4.68569565,2.215053
181.000,0.34523463,0.39023264,-0.19866009,-0.33588046,4.81864223,7.112347
182.000,0.34220955,0.32591283,-0.18265974,-0.26991590,4.88651958,1.169690
183.000,0.31944095,0.41992571,-0.24779299,-0.33902247,4.98148303,2.425919
184.000,0.34387324,0.47562744,-0.27314593,-0.38937484,5.03785796,2.631878
185.000,0.34663050,0.40868312,-0.27873728,-0.29887694,5.12852843,5.983008
186.000,0.32677206,0.39418343,-0.20454235,-0.33696142,5.21192696,6.721845
187.000,0.32912679,0.39583166,-0.21070251,-0.33509276,5.21836431,5.599337
188.000,0.31129577,0.47641189,-0.25658700,-0.40141176,5.29900918,9.216675
189.000,0.33149078,0.50125335,-0.16336500,-0.47388480,5.41708832,3.903546
190.000,0.34410697,0.43843844,-0.14405449,-0.41409730,5.47991698,6.133316
191.000,0.34683924,0.45857615,-0.17987947,-0.42182397,5.51656573,0.990908
192.000,0.32881562,0.45514106,-0.19413074,-0.41166326,5.53406826,6.331220
193.000,0.32781035,0.45638937,-0.11701880,-0.44113247,5.61661938,4.055503
194.000,0.34242153,0.39706631,-0.04088342,-0.39495595,5.70566357,2.698491
195.000,0.34518598,0.39372883,-0.10970620,-0.37813615,5.77651186,3.188930
196.000,0.34555506,0.36637135,-0.10128379,-0.35209311,5.80388295,6.549428
197.000,0.31884362,0.30944270,-0.04314890,-0.30641958,5.87781357,0.871106
198.000,0.33550693,0.31229703,-0.01151416,-0.31208470,5.90995156,2.854991
199.000,0.33899255,0.23551493,0.05177117,-0.22975428,6.01379438,4.165558
200.000,0.34761605,0.24003090,0.06346331,-0.23148918,6.02561454,4.690726
201.000,0.32241178,0.15605860,0.01769551,-0.15505210,6.11470617,1.525724
202.000,0.34336791,0.21856953,-0.01791987,-0.21783370,6.18688639,2.844068
203.000,0.34494109,0.25009191,0.01150963,-0.24982692,6.23035662,5.042049
204.000,0.32859369,0.26418392,-0.00206711,-0.26417583,6.25011059,4.224336
205.000,0.33951613,0.23775358,-0.01968777,-0.23693703,6.28255191,4.019026
