time_ps,temperature_K,potential_kJ_per_mol,kinetic_kJ_per_mol,total_kJ_per_mol,graphene_z_min_nm,graphene_z_max_nm,graphene_z_mean_nm,ligand_z_min_nm,ligand_z_max_nm,pyrene_z_mean_nm,pyrene_height_above_graphene_nm,water_z_min_nm,water_z_max_nm,water_below_graphene,water_below_lower_wall,water_above_upper_wall,lower_wall_violation_nm,upper_wall_violation_nm
0.0,50.33172223722458,-373458.3791561071,10057.35923352883,-363401.01992257824,0.4784441800128958,0.521204133134038,0.5003285605099634,0.728711003914758,1.6489713822235892,0.8195081791790545,0.31917961866909106,0.7647757692172679,6.50440907192278,0,0,0,0.0,0.0
1.0000000000000007,81.99196441615561,-367118.8913451554,16383.755686113029,-350735.1356590424,0.46744109604626516,0.5202683720423247,0.49865887825411825,0.7250324915479318,1.6568385443319045,0.823771740298781,0.3251128620446627,0.7701472415468391,6.544018460716771,0,0,0,0.0,0.0
1.9999999999998905,92.54003845698058,-364562.224789971,18491.48745317697,-346070.73733679403,0.4754199737847973,0.5280914277870963,0.5003328493446726,0.7410164498993521,1.648358076928961,0.8348842894291328,0.33455144008446025,0.7733467784998904,6.535175965718437,0,0,0,0.0,0.0
2.9999999999997806,97.60799178600288,-364024.9020698969,19504.173388470455,-344520.7286814265,0.4780130660726929,0.5244309916694072,0.5003367515176342,0.738572965342537,1.6444037391663606,0.8450576276879318,0.34472087617029756,0.7751888471696979,6.551398822734022,0,0,0,0.0,0.0
3.9999999999996705,99.34947045669772,-363616.18111876445,19852.158234014893,-343764.0228847496,0.4742889211657042,0.525497628803488,0.4991325664439274,0.739569765651952,1.6194870264430072,0.8429258682170607,0.34379330177313333,0.7665967706989392,6.545580921420218,0,0,0,0.0,0.0
5.000000000000004,101.12826722067437,-363903.9198434497,20207.600036193493,-343696.3198072562,0.4718693321884828,0.5238192616113961,0.49914121599115224,0.7330024111768161,1.6716231493675835,0.8223571899122285,0.32321597392107626,0.7707434004846423,6.572585323353977,0,0,0,0.0,0.0
6.000000000000338,99.97576896916937,-363971.7935559894,19977.306129762706,-343994.48742622667,0.4734759364769734,0.5275239469380484,0.5008263637676907,0.7461231739125154,1.6408945929286212,0.8197407220684461,0.3189143583007553,0.7726738565280629,6.5428588637141445,0,0,0,0.0,0.0
7.000000000000672,100.58897555307097,-364253.33989121346,20099.837976966264,-344153.5019142472,0.4719247337254391,0.5253592058890337,0.501123254805236,0.7338517814787409,1.5922286842970834,0.8418079235226312,0.3406846687173952,0.7694194942697163,6.542453007742765,0,0,0,0.0,0.0
8.000000000001005,98.97902860226998,-364138.22982568434,19778.135994371383,-344360.09383131296,0.4726126891487894,0.5274330861729215,0.5016160882156193,0.7389164795837466,1.6403043450287207,0.835276343484137,0.3336602552685177,0.7724505419283592,6.526682778587322,0,0,0,0.0,0.0
9.000000000000451,101.19627749870938,-364489.71750654513,20221.189950612603,-344268.5275559325,0.47512486018381983,0.5301528380876377,0.49988158331624766,0.7474798924279078,1.8312847675675714,0.835750490519376,0.33586890720312834,0.7779049096819168,6.54831150417688,0,0,0,0.0,0.0
9.999999999999897,100.0527822187785,-364303.18822447304,19992.695031287076,-344310.49319318595,0.4663593730127351,0.5268116821953139,0.49944677806863164,0.7445883038982339,1.8148955627845496,0.8292521610785194,0.32980538300988776,0.7728004631072345,6.553316652072297,0,0,0,0.0,0.0
10.999999999999343,100.1329622717536,-364389.2619269565,20008.71672814722,-344380.54519880924,0.4713685803715278,0.5318087006512471,0.5005576232416461,0.7399541333235398,1.7997793908196353,0.8294485474818192,0.3288909242401731,0.7601975338542601,6.574480189533745,0,0,0,0.0,0.0
11.999999999998789,100.69905944946727,-364632.701420845,20121.835104079575,-344510.86631676543,0.4746587921659393,0.5293813673288152,0.5004191125370113,0.7581526325259045,1.755812557653556,0.8407008956211091,0.34028178308409773,0.7777631615220226,6.5761923118327985,0,0,0,0.0,0.0
12.999999999998234,100.10348861492923,-364726.63035554066,20002.827258416557,-344723.8030971241,0.4651365050725986,0.527756347018685,0.49965264740755955,0.7533771249550485,1.7927041671798065,0.848087224771141,0.3484345773635814,0.7718393562304033,6.533579164572686,0,0,0,0.0,0.0
13.99999999999768,101.30975493259146,-364956.45062520215,20243.865179409106,-344712.58544579305,0.4732427698220061,0.5294821638078222,0.5001667527422311,0.742592304116469,1.7614573010502745,0.842258971006768,0.34209221826453695,0.7699368110256088,6.56468240550916,0,0,0,0.0,0.0
14.999999999997126,101.30563077257727,-365140.65219801664,20243.041083650893,-344897.61111436575,0.4755320238354006,0.5260762910318935,0.5014623848643679,0.7474373457058734,1.7854989878002483,0.8624716597968156,0.3610092749324477,0.7764405047751202,6.565253642819144,0,0,0,0.0,0.0
15.999999999996572,100.49203417971178,-365087.9810749828,20080.467008258503,-345007.5140667243,0.4628180240141382,0.5266887686388078,0.49887297074518583,0.7435693643966221,1.786089068575623,0.850568068704115,0.3516950979589292,0.7696700915860184,6.548537249818388,0,0,0,0.0,0.0
16.999999999997794,101.3264685127614,-365512.33019850357,20247.204911736466,-345265.1252867671,0.4725442903505579,0.5294164348793027,0.5007932324675981,0.7341625843290096,1.7714379505574733,0.8466044286958034,0.34581119622820533,0.7686889228961729,6.5710842507217535,0,0,0,0.0,0.0
17.999999999999016,99.96173051814935,-365578.10196304694,19974.500945701548,-345603.6010173454,0.4660318479614469,0.5287280882484051,0.5013789211359353,0.7483373908813191,1.7792237690532495,0.839390028810844,0.3380111076749087,0.776556134852553,6.538205167790739,0,0,0,0.0,0.0
19.000000000000238,100.4005855285125,-365535.81447687885,20062.193603422522,-345473.62087345636,0.4686204383910004,0.5248388852557557,0.4990324917449447,0.7519679385812648,1.771395195776634,0.8449641242269712,0.3459316324820265,0.7684385424098945,6.570812916433752,0,0,0,0.0,0.0
20.00000000000146,99.88614336864572,-365538.10013363743,19959.397009611035,-345578.7031240264,0.47739454195806985,0.5253363767143586,0.4999816333881196,0.7460551135155766,1.744587629452429,0.8348154798556391,0.3348338464675195,0.7770485352886416,6.553726515760559,0,0,0,0.0,0.0
