stage,target_temperature_K,measured_temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,yb_energy_kJ_mol,carbon_plane_nm,lowest_water_O_height_nm,highest_water_O_height_nm
1,50.0,43.84097102084491,-103528.45982410887,3845.9884241612363,0.6300571728273782,0.5010717122747396,0.2942928595127482,3.586523020554591
1,50.0,48.816923654083396,-103435.66926266882,4282.50832280834,0.17874514349423845,0.5013077939493539,0.28488711055697025,3.598558186988858
1,50.0,50.294483085106364,-103575.63864405465,4412.128546434835,0.07968701381691108,0.5001565042664238,0.2871907457218241,3.436863540280977
1,50.0,51.10170072830789,-103780.0324960933,4482.942436712395,0.6043488242061347,0.500568878636687,0.28245498581258255,3.3871076691445174
1,50.0,50.89559531495022,-103904.43936269102,4464.861654843908,0.7681143553153695,0.4998404688118098,0.27503332835193445,3.369062250366385
1,50.0,49.728355259988504,-103986.76185208687,4362.464476244336,0.49767066239824714,0.5000428617476511,0.2806773513390035,3.3737737125951175
1,50.0,50.89736050468298,-104263.4354553062,4465.016507693207,0.324342915134471,0.500362734934736,0.27673587709431235,3.363835060995573
1,50.0,51.02183659700311,-104292.62278719025,4475.9362843085655,0.37818845913992855,0.4990419325633658,0.2796437298567275,3.3486336198812334
1,50.0,50.3986465421159,-104251.62673792697,4421.266378936054,0.37497824377053496,0.5005282956792984,0.2770145233422673,3.36463371770579
1,50.0,49.681065896297696,-104315.41025842784,4358.315974486601,0.29647177176543643,0.4996721555489412,0.2788971023652138,3.3343263391680704
1,50.0,50.53701015439187,-104422.2272842708,4433.404450670038,0.4837921780577227,0.5004178132012439,0.27508167155551344,3.3149120014543065
1,50.0,50.04859591667584,-104430.00180976524,4390.557874494564,0.3340406607745933,0.4998412342515564,0.27060382066218786,3.297040349860423
1,50.0,50.160534627228394,-104379.4567743903,4400.377798072351,0.42954026010484336,0.5000912763764394,0.2719229874766329,3.3016009926230527
1,50.0,50.49666418960863,-104425.33388804854,4429.865064796395,0.6255910424638097,0.5005009880367217,0.28482654099199123,3.295190464331762
1,50.0,50.189320418155646,-104430.08938960207,4402.903057347148,0.24459098662564652,0.4995036728555073,0.2754358887407056,3.3243774854179486
1,50.0,50.24974530810364,-104449.95131870836,4408.203884903197,0.058392019711464,0.500208303501315,0.2766818536816704,3.2960849565411463
1,50.0,49.8939236315429,-104500.15862073726,4376.989109836568,0.167583240889268,0.5001082277961652,0.2814977082951574,3.3088521509065636
1,50.0,50.5658097614765,-104509.29821464792,4435.930921979609,0.45568472241300617,0.5008309241127665,0.2815815358958894,3.2930941866475534
1,50.0,50.407942077722154,-104496.62394388404,4422.0818381173995,0.6159576371455391,0.49939553416225946,0.27114088618045284,3.2825498251317184
1,50.0,50.34308335470629,-104532.08536246838,4416.392048586818,0.636631752880715,0.4995804696114029,0.2724345863539873,3.2788385951252392
2,100.0,90.23209529577255,-100524.25373761496,7915.691325138599,0.5328230475960125,0.5001523305753529,0.2814302218122763,3.309764094584737
2,100.0,96.66356158151956,-100266.14681904775,8479.897461759192,0.018036513689897355,0.5005383612652635,0.2733576104149701,3.3093296561560805
2,100.0,98.98572955227078,-100156.6482692865,8683.611725529052,0.886808832708762,0.5000602011950934,0.2774900875887405,3.296904367039215
2,100.0,99.27469760262558,-100179.54719593539,8708.961706397144,0.16353290257447559,0.4994120026940951,0.27613435414702187,3.2942451574420115
2,100.0,99.26142746348212,-100242.88555358083,8707.797571562893,0.09103051773232027,0.5006296753365562,0.2844646272141491,3.297436539988345
2,100.0,98.37984305191607,-100076.74959403835,8630.45978996604,0.2277335050766514,0.49899313962799136,0.27894566096424184,3.308973971374513
2,100.0,99.92500981907153,-100267.50104106637,8766.010927669013,0.27496809328861826,0.5004624238815242,0.27356421695715494,3.2903913364437276
2,100.0,101.4017518941555,-100398.62864011596,8895.559448014155,0.7903046188318106,0.49889369829774516,0.2792221664861199,3.320056873123914
2,100.0,99.83527585214648,-100337.70540123573,8758.138935101062,0.021610122908967976,0.5001166022572231,0.26602209715130953,3.2528700194026916
2,100.0,99.20661595573058,-100485.32963106653,8702.989182984478,0.13360534641860192,0.5011234165874571,0.2680669623910431,3.262143561728547
2,100.0,101.31451412552975,-100434.0516935424,8887.90643667632,0.0014463003228476932,0.4984656605231179,0.27554864678322355,3.2434708839901547
2,100.0,100.55440479046884,-100419.56981409283,8821.225164896294,0.019697100981032473,0.4995700456460513,0.2881178666453796,3.2836198427752463
2,100.0,100.22948489837091,-100472.41717457003,8792.721276531363,0.07212459222365217,0.49978087650053377,0.27745229923165754,3.258874883235503
2,100.0,98.86011624730632,-100400.84921284113,8672.592185916568,0.09840667875110759,0.4978129256878853,0.27410184630922246,3.2449753307569402
2,100.0,99.23620216595782,-100503.62762810814,8705.58465975881,0.029967999014475437,0.5012879280703755,0.27982200639583277,3.2667290315849655
2,100.0,99.70692968461313,-100457.29148723825,8746.87965267358,0.002635845598321529,0.499198555412699,0.277616777540876,3.2907914568318315
2,100.0,99.9589374369077,-100488.39328151837,8768.987258311763,0.014532031129683102,0.500213516960643,0.28159663368310883,3.2493736516188525
2,100.0,101.02908786578655,-100629.56816549867,8862.86716255983,0.04288553287960261,0.5001774441704476,0.28453242072052265,3.287714995905609
2,100.0,99.85002725578127,-100555.95514620992,8759.433015188672,0.00577950803094891,0.4994387999566985,0.2683813756425024,3.263105836349344
2,100.0,100.65003900981205,-100528.58776658203,8829.61476238885,0.004848621392688822,0.5012980705766651,0.28376231179379696,3.275277944505841
3,150.0,139.40113736066104,-96974.8426716685,12229.08955071042,0.001587251434671048,0.4999300744680968,0.2791463960468741,3.273554295049344
3,150.0,146.26190591172946,-96471.04329504818,12830.956612817978,0.11609477178760216,0.5002866009538003,0.2819272767193326,3.2887281842602567
3,150.0,153.0223738641818,-96129.6022347419,13424.024715134468,0.01676146249030397,0.49998526468789567,0.27994068877932815,3.332912220670797
3,150.0,150.24141197662144,-95788.01890616713,13180.06234435337,0.0019236353830497281,0.5002501663013229,0.2751437478343103,3.2662606231138134
3,150.0,149.9946292344169,-96012.58219042339,13158.41310740216,0.11846192022770656,0.5010928863127622,0.2873374078281201,3.2926638757521007
3,150.0,149.21799967084337,-96255.72127877304,13090.28258378887,0.20115749863342433,0.49789572486904715,0.2853250079450769,3.31578541023345
3,150.0,149.27056630865778,-96042.72688673972,13094.894039142704,0.5212769477946874,0.5007484903273974,0.28022377707858637,3.3229111531367317
3,150.0,148.68551932458954,-96109.99022814806,13043.570268799043,0.39996221807910415,0.49954356905093744,0.2869678563390178,3.2715893202568203
3,150.0,150.8741533872491,-96254.23094775702,13235.57015095748,0.13017372833710597,0.49977239042358235,0.2806935207909965,3.271148719622073
3,150.0,152.01053279476375,-96196.60545975296,13335.260051636882,6.036852327143665e-05,0.5004807225205015,0.2694903622290836,3.279565992880414
3,150.0,152.36514364132168,-96330.23862426192,13366.36860555772,0.2710385668061868,0.4989903635689089,0.2786595462075002,3.301960801726024
3,150.0,151.03418270235335,-96316.12060260866,13249.608865864702,0.014060898939785653,0.5010474951019893,0.2824562887616394,3.3097741929299254
3,150.0,152.17075203622372,-96214.32371842826,13349.315428003658,0.1534248269888917,0.500405112733411,0.2710842049293214,3.315831564434326
3,150.0,152.47850339407856,-96336.67604202405,13376.313191334833,0.00013968946583025745,0.500472366846242,0.28374469683338177,3.349512836245179
3,150.0,151.6319624729944,-96392.72078289394,13302.049631307376,2.851924548748579e-07,0.4997266619773216,0.27089747773846556,3.303328519308293
3,150.0,149.5334674774976,-96426.07978612778,13117.957279497841,0.14399857587436563,0.5013096627566817,0.2713487498909072,3.25792674965711
3,150.0,150.4651946201148,-96527.67056718236,13199.69387705812,0.002778741620953193,0.49892979326285547,0.28140771862128156,3.251501237841594
3,150.0,150.8938594742221,-96469.2570716741,13237.298885075794,0.008733352753974282,0.5006395384722718,0.28107668921139817,3.235509600077399
3,150.0,148.7084688200966,-96493.43816503207,13045.583533834131,0.00422827046089217,0.49961252433345854,0.2827697465443471,3.2551308635527745
3,150.0,150.3769781219517,-96818.30229292542,13191.955005795575,0.13901324609551913,0.5000587530147684,0.2720248563298244,3.2554273897170645
4,200.0,190.12156296845467,-92964.38978556637,16678.58428620239,0.05613331406666483,0.49851714807184333,0.27953006689520166,3.2866944987975915
4,200.0,194.9744995392802,-92168.84215595422,17104.31249066459,0.13591491608052897,0.5011419785189252,0.2659346568639832,3.2148702525103214
4,200.0,198.18404610125089,-92089.5711990128,17385.872835627677,0.20771474897385825,0.4994668460285204,0.2752798105384387,3.2702975497148397
4,200.0,198.01514000172958,-92124.89173462556,17371.055396862,1.6962197822798173e-05,0.5001058466683544,0.27455019974086625,3.271155302472316
4,200.0,195.52224161845444,-91514.86360786634,17152.363654835397,0.00010524077829352524,0.5010984676177359,0.272854650949824,3.2780802335260204
4,200.0,204.9602225132257,-91776.4394331224,17980.318976616167,0.043123498508642014,0.5018424265535079,0.27221090250732705,3.2564669191673277
4,200.0,200.84152640438796,-91401.1358057328,17619.002673888834,0.05641724759397386,0.49975493424761863,0.2776234196885867,3.252944214011142
4,200.0,202.17207945214693,-92052.71286994487,17735.726630960413,0.23942239590539036,0.49914566400026406,0.28053952712468266,3.255255816954576
4,200.0,200.66145053467156,-91829.15405691403,17603.20535703491,0.38555902426826216,0.5018725636278436,0.2654723065303397,3.2809550558068437
4,200.0,201.72863115582797,-92056.97491856804,17696.824732242298,0.1426112902264246,0.4981233572654053,0.27165387806498004,3.273628960458642
4,200.0,200.61614406228782,-91904.75504659873,17599.23080619194,1.5556764337979085,0.501462147005949,0.27544350446445987,3.237022623847377
